example,entity,state,role,element_id,grid_id,vertex_index,x_m,y_m,z_m,classification,evidence_kind,receiving_for,selected_pair,projection_distance_m,coordinate_correction_m,ordinary_tolerance_m,snap_tolerance_m,weight_1,weight_2,weight_3,original_length_m,proposal_length_m,length_ratio,fractional_length_change,metric,value,text
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450341,225647,1,0.27351772785,0.99466562271,0.032532069832,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450341,225646,2,0.2743576467,0.99188774824,0.032564487308,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450341,225649,3,0.27651387453,0.99450290203,0.032533805817,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450342,225646,1,0.2743576467,0.99188774824,0.032564487308,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450342,225636,2,0.27528214454,0.98893362283,0.032598551362,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450342,225648,3,0.27771490812,0.99126160144,0.032570660114,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450343,225648,1,0.27771490812,0.99126160144,0.032570660114,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450343,225649,2,0.27651387453,0.99450290203,0.032533805817,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450343,225646,3,0.2743576467,0.99188774824,0.032564487308,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
single_B_A_ordinary_C_beyond,skin_vertex,unchanged,,450344,225647,1,0.27351772785,0.99466562271,0.032532069832,,retained,,,,,1e-05,0.0030639880082520532,,,,,,,,,,
