Study,Case,AspectRatio,TaperRatio,LLTTrimAoA_deg,RequiredCL,ExactTrimCL,CLResidual,InterpolatedCDi,ExactTrimCDi,CDiDifference,InterpolationOverestimate_pct,MaxCLGridReproductionError,MaxCDiGridReproductionError,Ctrim_Nm,OptimizerFeasible,TorsionIncluded,StoredPareto,ExactPareto
Multi-input,32,6.69347004262753,0.2696518311726,4.11390088831559,0.438436487080149,0.438436487080149,0,0.00932989220286785,0.00926698658651893,6.29056163489131e-05,0.678814151305933,2.22044604925031e-16,6.93889390390723e-18,16.9536920429801,0,1,0,0
Multi-input,33,9.22711211631034,0.200031649622706,3.82201348380323,0.442456296786861,0.442456296786861,-5.55111512312578e-17,0.00702601559219809,0.00694668358102055,7.93320111775421e-05,1.14201273531862,0,0,34.995919020201,1,1,1,1
Multi-input,34,8.59154010278483,0.200016041057346,4.04270773261602,0.454409632644971,0.454409632644971,2.22044604925031e-16,0.00787853358965881,0.00785723503592167,2.12985537371355e-05,0.271069321965842,0,0,27.1395188221288,1,1,0,0
Multi-input,35,7.77353405081505,0.200005056882641,4.37214356079287,0.471703209569843,0.471703209569843,-2.22044604925031e-16,0.00950087477335609,0.00933761139272454,0.000163263380631551,1.7484490815152,2.22044604925031e-16,2.08166817117217e-17,20.5683027747277,1,1,0,0
Multi-input,36,6.36725485806803,0.200035493984028,4.29385788846001,0.445973951642591,0.445973951642591,0,0.0102990511327392,0.0101483546144723,0.000150696518266956,1.48493547961018,0,0,11.9100533684582,1,1,1,1
Multi-input,37,6.68676975911999,0.20006094029522,4.12740994857684,0.438193543746007,0.438193543746007,-5.55111512312578e-17,0.00940848702001345,0.0093384724480757,7.00145719377526e-05,0.749743304668419,0,0,14.6581713219758,1,1,1,1
Multi-input,38,8.09046724003104,0.200048677116826,3.90290209982485,0.438048163953279,0.43804816395328,3.33066907387547e-16,0.00779299990103129,0.0077441483657521,4.88515352791855e-05,0.630818690086409,2.22044604925031e-16,1.38777878078145e-17,24.6339906311936,0,1,0,0
Multi-input,39,6.00070686031875,0.230904790649949,4.46311711624095,0.453182724803835,0.453182724803835,-1.66533453693773e-16,0.0112830304585407,0.0110628941755002,0.000220136283040438,1.98986159994144,0,0,10.4654430601556,1,1,0,0
Multi-input,40,6.00029682439867,0.310301673628649,4.25141036324703,0.438158667207029,0.438158667207028,-2.77555756156289e-16,0.0104247701566133,0.0102886316546041,0.000136138502009208,1.32319346808656,0,0,13.7534125018372,0,1,0,0
Multi-input,41,7.35440542439297,0.200004143435399,4.0938245277773,0.444618313271894,0.444618313271894,5.55111512312578e-17,0.00880834435973642,0.00875852659493525,4.98177648011605e-05,0.568791614219318,0,0,17.8710415041225,1,1,1,1
Multi-input,42,7.53033342131771,0.200020517747877,4.26670542339581,0.460364396575853,0.460364396575853,5.55111512312578e-17,0.00930231514101728,0.00917539548811673,0.000126919652900551,1.38326084216127,0,0,18.756880813362,1,1,0,0
Multi-input,43,6.45568575377485,0.200033711361196,4.67016605199022,0.476031582275585,0.476031582275585,1.11022302462516e-16,0.0116733766303351,0.0114078626610408,0.000265513969294296,2.32746463718447,0,0,11.8554218778133,1,1,0,0
Multi-input,44,6.00045148795977,0.200025054855139,4.35074750196497,0.444083568742796,0.444083568742796,-1.11022302462516e-16,0.0108444081765116,0.0106652564952475,0.000179151681264105,1.67976908332149,0,0,10.1714077474519,1,1,1,1
Multi-input,45,9.94158112598931,0.200010235278443,3.78264281107132,0.445085229032498,0.445085229032498,0,0.00662532715202383,0.0065347557233644,9.05714286594302e-05,1.38599562850683,0,0,43.3531503415886,1,1,1,1
Multi-input,46,7.80311832219393,0.200027992609583,3.9836783276747,0.44133672812995,0.44133672812995,5.55111512312578e-17,0.0081522930020209,0.00814356148716005,8.73151486084633e-06,0.107219855521608,0,0,21.3783068214898,1,1,1,1
Multi-input,47,8.50971666500695,0.200002401242647,3.88034229166643,0.440590855176988,0.440590855176987,-2.77555756156289e-16,0.00751380601337767,0.00745604274869551,5.77632646821613e-05,0.774717455747789,4.44089209850063e-16,1.38777878078145e-17,27.6837768877566,1,1,1,1
Multi-input,48,10.2411740784092,0.200000002012014,3.71777946010338,0.442016408777566,0.442016408777566,-5.55111512312578e-17,0.00637185861048152,0.00626049604784151,0.000111362562640007,1.77881372001508,0,0,47.8650509682799,1,1,1,1
Multi-input,49,9.53154620660881,0.200017346706084,3.74159676696717,0.438396598384694,0.438396598384694,-1.11022302462516e-16,0.00671532522629085,0.0066072693577273,0.000108055868563552,1.63540886125944,0,0,39.7929092337536,0,1,0,0
Multi-input,50,6.00001604670084,0.363626427163867,4.5289078311221,0.458890226326338,0.458890226326338,5.55111512312578e-17,0.0115183093542539,0.0112780596883543,0.000240249665899668,2.13023935444987,0,0,13.480985770103,1,1,0,0
Multi-input,51,6.66702564401554,0.232687458414914,4.46302147761736,0.464336548346796,0.464336548346796,1.11022302462516e-16,0.0106781682996011,0.0104697540346959,0.000208414264905209,1.99063191183424,0,0,14.3089868812042,1,1,0,0
Multi-input,52,6.0000313555495,0.200024740971887,4.28555913678411,0.43921935408842,0.43921935408842,5.55111512312578e-17,0.0105854511830806,0.0104337141684634,0.000151737014617256,1.45429529856101,2.22044604925031e-16,1.38777878078145e-17,10.7181934547071,1,1,1,1
Multi-input,53,10.579905329405,0.200009255962654,3.71091993060944,0.443827635089525,0.443827635089525,0,0.00622536995552582,0.00611409135904763,0.000111278596478194,1.82003489878385,0,0,52.6060142320063,1,1,1,1
Multi-input,54,9.52650531064775,0.200010364421388,3.77169511271722,0.440856609306581,0.440856609306581,-5.55111512312578e-17,0.00678167140901004,0.00668457432158462,9.70970874254202e-05,1.45255453457809,2.22044604925031e-16,1.38777878078145e-17,38.8578897521087,1,1,1,1
