point,velocity_mps,four_point_reduced_frequency,four_point_frequency_Hz,four_point_damping_g,eighteen_point_reduced_frequency,eighteen_point_frequency_Hz,eighteen_point_damping_g
3,104.1176,1.6593,102.01331,4.5858807000000002e-07,1.6593,102.0129,-2.0964585000000001e-05
3,107.64709999999999,1.6049,102.01325,-6.9628206999999998e-07,1.6049,102.01285,-2.1736856000000002e-05
3,111.1765,1.554,102.01318999999999,-1.8651818999999999e-06,1.554,102.0128,-2.2531035000000001e-05
3,114.7059,1.5062,102.01313,-3.0490656999999998e-06,1.5062,102.01275,-2.3347383e-05
3,118.2353,1.4612000000000001,102.01307,-4.2488884000000004e-06,1.4612000000000001,102.01269000000001,-2.4186292000000001e-05
3,120,1.4397,102.01303,-4.8550852e-06,1.4397,102.01266,-2.4614514000000001e-05
3,121.7647,1.4189000000000001,102.01300000000001,-5.4656411000000002e-06,1.4188000000000001,102.01263,-2.5048782000000001e-05
3,125.2941,1.3789,102.01293,-6.7003521999999997e-06,1.3789,102.01257,-2.5936009000000002e-05
3,128.8235,1.3411,102.01286,-7.9540914000000008e-06,1.3411,102.01251000000001,-2.6849039e-05
3,132.35290000000001,1.3052999999999999,102.01279,-9.2279710999999993e-06,1.3052999999999999,102.01244,-2.7788884e-05
3,135.88239999999999,1.2714000000000001,102.01272,-1.0523187000000001e-05,1.2714000000000001,102.01237999999999,-2.8756553e-05
3,139.4118,1.2392000000000001,102.01264,-1.1840873999999999e-05,1.2392000000000001,102.01231,-2.9752958e-05
3,142.94120000000001,1.2085999999999999,102.01255999999999,-1.318233e-05,1.2085999999999999,102.01223,-3.0778885999999999e-05
3,146.47059999999999,1.1795,102.01248,-1.4548869000000001e-05,1.1795,102.01215999999999,-3.1834831e-05
3,150,1.1517999999999999,102.01239,-1.5941868999999999e-05,1.1517999999999999,102.01208,-3.2921369999999997e-05
4,30,6.7264999999999997,119.15418,0.032007439999999998,6.7039,118.75286,-0.0078555095999999994
4,33.529400000000003,6.0179999999999998,119.14409999999999,0.030941934000000001,5.9970999999999997,118.73002,-0.0082090854999999994
4,37.058799999999998,5.4443000000000001,119.13209999999999,0.029876046999999999,5.4246999999999996,118.70329,-0.0086788481000000008
4,40.588200000000001,4.9702999999999999,119.11819,0.028809774,4.9516999999999998,118.67298,-0.0091845533000000004
4,44.117600000000003,4.5720999999999998,119.10235,0.027743112,4.5542999999999996,118.64027,-0.0096728279999999996
