a_m,t1_over_a,score_before_observed,score_before_cases_8_29_feasible,score_after_observed,score_after_cases_8_29_feasible
0.019,0.27225000000000005,0.98609921772790132,1,0.97802983218776129,1
0.019,0.27312500000000001,0.97861579657616216,1,0.97030462330117984,1
0.019,0.27400000000000002,0.97071127618082109,1,0.96216761929271322,1
0.019,0.27487500000000004,0.96240709524332735,1,0.95364189893217377,1
0.019,0.27575000000000005,0.9537245249349191,1,0.94475036241575616,1
0.019,0.27662500000000001,0.94468452573956008,1,0.93551555719385782,0.99717362870549264
0.019,0.27750000000000002,0.93530762689770075,1,0.92595953222959659,0.98651809394884382
0.019,0.27837500000000004,0.92561382806960246,0.99279566727688984,0.91610372009579333,0.97559184265095433
0.019,0.27925000000000005,0.91562252167018765,0.98176792417924619,0.90596884482685636,0.96441142593944251
0.019,0.28012500000000001,0.90535243367114226,0.97047983028217222,0.89557485261712233,0.95299313866617175
0.019,0.28100000000000003,0.89482158039807036,0.95894578539083597,0.88494086213708467,0.94135291706714574
0.019,0.28187500000000004,0.88404723884809433,0.94717993242266707,0.87408513126219722,0.92950625872965786
0.019,0.28275000000000006,0.8730459282151497,0.93519609323681852,0.86302503724267909,0.91746816104931628
0.019,0.28362500000000002,0.86183340056038182,0.92300771819269389,0.85177706768721351,0.90525307479113937
0.019,0.28450000000000003,0.85042463884907116,0.91062784695230614,0.84035682011795776,0.89287486986031306
0.019,0.28537500000000005,0.8388338608600483,0.89806907844496964,0.82877900823513784,0.88034681087848765
0.019,0.28625000000000006,0.8270745277382151,0.88534354828945871,0.81705747338070911,0.8676815406150542
0.019,0.28712500000000002,0.81515935619534752,0.87246291230233219,0.80520519999916518,0.85489106972172224
0.019,0.28800000000000003,0.80310033356595001,0.85943833500556899,0.79323433415605071,0.84198677155669666
0.019,0.28887500000000005,0.79090873509260495,0.84628048228233599,0.7811562043909025,0.82897938116267733
0.019,0.28975000000000006,0.77859514295290655,0.83299951752000045,0.76898134435614518,0.81587899768559391
0.019,0.29062500000000002,0.76616946665033725,0.81960510073035864,0.75671951683137983,0.80269508969570458
0.019,0.29149999999999998,0.75364096447855711,0.80610639025359831,0.74437973880919495,0.78943650300614288
0.019,0.29237500000000005,0.74101826583688146,0.7925120467414779,0.73197030743016145,0.77611147068435582
0.019,0.29325000000000001,0.72830939422668317,0.7788302391814208,0.71949882660490982,0.76272762502510383
0.019,0.29412500000000003,0.71552179079864087,0.76506865277171643,0.70697223420584132,0.74929201130613476
0.019,0.29499999999999998,0.70266233835046554,0.75123449849300827,0.69439682974263794,0.7358111031842014
0.019,0.29587500000000005,0.68973738569730669,0.73733452424575563,0.68177830245825288,0.72229081961371855
0.019,0.29675000000000001,0.67675277235358822,0.72337502744060489,0.66912175979748345,0.70873654318671542
0.019,0.29762500000000003,0.66371385347717649,0.70936186894014663,0.65643175621054894,0.69515313980293048
0.019,0.29849999999999999,0.65062552503621607,0.69530048825894619,0.6437123222614427,0.68154497958574933
0.019,0.29937500000000006,0.63749224916541658,0.68119591993422313,0.63096699401522283,0.6679159589636553
0.019,0.30025000000000002,0.62431807968406516,0.66705281098395242,0.61819884268195724,0.65426952383994408
0.019,0.30112500000000003,0.61110668775191967,0.65287543937257708,0.60541050449735456,0.64060869377582974
0.019,0.30199999999999999,0.59786138764249896,0.63866773340767491,0.59260421082217196,0.62693608711444226
0.019,0.30287500000000001,0.58458516261593685,0.62443329199388076,0.57978181844426213,0.61325394697577729
0.019,0.30375000000000002,0.57128069087588851,0.61017540567342676,0.56694484006886336,0.5995641680555448
0.019,0.30462500000000003,0.55795037159701444,0.59589707838586636,0.55409447498452424,0.58586832416418688
0.019,0.30549999999999999,0.54459635101129533,0.58160104988293426,0.54123163989377632,0.57216769644598164
0.019,0.30637500000000001,0.53122054854284573,0.56728981873760165,0.52835699989929952,0.55846330222175566
