node_order,node_id,x_m,y_m,z_m,ux_mode3,uy_mode3,uz_mode3,displacement_magnitude,mode_index,frequency_hz
368748,468748,0.1835229099,1.04511106,1.8253560080000001e-07,0.15418350696563721,0.035142280161380768,-0.0045935525558888912,0.15820440701904415,3,102.01404571533203
368749,468749,0.1835229099,1.04511106,0.017680753019999999,0.15323822200298309,0.035316701978445053,-0.0046972944401204586,0.1573254165617464,3,102.01404571533203
368750,468750,0.18352779750000001,1.5857952829999999,1.8253560080000001e-07,0.33088523149490356,0.045917578041553497,-0.0091768680140376091,0.33418209901367418,3,102.01404571533203
368751,468751,0.18352779750000001,1.5857952829999999,0.017680753019999999,0.3293403685092926,0.045938067138195038,-0.0092353019863367081,0.33265699323027736,3,102.01404571533203
368752,468752,0.18353262540000001,1.257339835,1.8253560080000001e-07,0.21721157431602478,0.040113043040037155,-0.006890901830047369,0.22099187488866912,3,102.01404571533203
368753,468753,0.18353262540000001,1.257339835,0.017680753019999999,0.21604618430137634,0.040290176868438721,-0.0069828620180487633,0.21988181476701854,3,102.01404571533203
368754,468754,0.1835348457,0.085936024779999995,0.037775222210000001,0.0017443887190893292,0.0034391903318464756,-0.00049392320215702057,0.0038877862944844883,3,102.01404571533203
368755,468755,0.1835375726,0.66567516329999998,0.031921189279999998,0.065387643873691559,0.024366362020373344,-0.0019275200320407748,0.069806725341721373,3,102.01404571533203
368756,468756,0.1835408211,0.50964850189999999,0.030026564370000002,0.039868045598268509,0.019217435270547867,-0.0014666714705526829,0.044282298985100665,3,102.01404571533203
368757,468757,0.1835430264,1.7907857890000001,-0.0044199624099999996,0.40947338938713074,0.04825013130903244,-0.008580399677157402,0.41239562927623691,3,102.01404571533203
368758,468758,0.1835430264,1.7907857890000001,0.0044203251600000004,0.40861314535140991,0.048191908746957779,-0.0086105205118656158,0.41153530065613181,3,102.01404571533203
368759,468759,0.1835430264,1.7907857890000001,0.01326060947,0.4077354371547699,0.048137865960597992,-0.0086289737373590469,0.4106578868581387,3,102.01404571533203
368760,468760,0.1835477948,1.7913137669999999,-0.013728970659999999,0.41059684753417969,0.048329897224903107,-0.0085672223940491676,0.41352018991861234,3,102.01404571533203
368761,468761,0.1835485697,0.50908994669999996,-0.022391146050000001,0.040918119251728058,0.019080227240920067,-0.0011290657566860318,0.045162178248471449,3,102.01404571533203
368762,468762,0.18354888259999999,1.0364173649999999,-0.0088401073589999997,0.15227426588535309,0.034824784845113754,-0.0044556153006851673,0.15626922345151451,3,102.01404571533203
368763,468763,0.18354888259999999,1.0364173649999999,0.0088404677810000002,0.15134234726428986,0.035000603646039963,-0.0045530791394412518,0.15540359989621252,3,102.01404571533203
368764,468764,0.18341803679999999,1.0364339499999999,0.028167540389999999,0.15031330287456512,0.035219486802816391,-0.0046409792266786098,0.15445400596908121,3,102.01404571533203
368765,468765,0.18355022369999999,0.36465615029999998,-0.020488154139999999,0.02231183648109436,0.014092594385147095,-0.00083763565635308623,0.026403047118773369,3,102.01404571533203
368766,468766,0.18354098129999999,2.0628799889999998,0.017809199269999999,0.51496142148971558,0.049480870366096497,-0.0054380036890506744,0.51736176321701344,3,102.01404571533203
368767,468767,0.18355196709999999,0.60072588920000003,-0.01975064725,0.055411718785762787,0.022110344842076302,-0.0013956135371699929,0.059676407942947762,3,102.01404571533203
368768,468768,0.18355217579999999,0.50882983209999999,-0.01326025277,0.040675345808267593,0.019114833325147629,-0.0011709976242855191,0.044958112116796109,3,102.01404571533203
368769,468769,0.18355217579999999,0.50882983209999999,-0.0044199624099999996,0.040483307093381882,0.01913611963391304,-0.0012273279717192054,0.044795039477721864,3,102.01404571533203
368770,468770,0.18355217579999999,0.50882983209999999,0.0044203251600000004,0.040289517492055893,0.01915447786450386,-0.0012862611329182982,0.044629516126735033,3,102.01404571533203
368771,468771,0.18355217579999999,0.50882983209999999,0.01326060947,0.040093302726745605,0.019168687984347343,-0.0013448345707729459,0.044460320540932623,3,102.01404571533203
368772,468772,0.18355217579999999,0.50882983209999999,0.02210089937,0.039907369762659073,0.019180707633495331,-0.0014081667177379131,0.044299894358792398,3,102.01404571533203
