aspect_ratio_index,taper_ratio_index,aspect_ratio,taper_ratio,binary_feasibility_score,raw_score
80,161,7.9749999999999996,0.60000000000000009,0.43710509860945956,0.43710509860945956
81,161,8,0.60000000000000009,0.41576788451014524,0.41576788451014524
82,161,8.0250000000000004,0.60000000000000009,0.39441762619477716,0.39441762619477716
83,161,8.0500000000000007,0.60000000000000009,0.37302934020504558,0.37302934020504558
84,161,8.0749999999999993,0.60000000000000009,0.35157925225010833,0.35157925225010833
85,161,8.0999999999999996,0.60000000000000009,0.33004544848147599,0.33004544848147599
86,161,8.125,0.60000000000000009,0.30840855905765485,0.30840855905765485
87,161,8.1500000000000004,0.60000000000000009,0.28665246783677822,0.28665246783677822
88,161,8.1750000000000007,0.60000000000000009,0.264765040862735,0.264765040862735
89,161,8.1999999999999993,0.60000000000000009,0.24273886528303185,0.24273886528303185
90,161,8.2249999999999996,0.60000000000000009,0.22057198949533208,0.22057198949533208
91,161,8.25,0.60000000000000009,0.19826865470200417,0.19826865470200417
92,161,8.2750000000000004,0.60000000000000009,0.17584000769139824,0.17584000769139824
93,161,8.3000000000000007,0.60000000000000009,0.15330478458445596,0.15330478458445596
94,161,8.3249999999999993,0.60000000000000009,0.13068995549085644,0.13068995549085644
95,161,8.3499999999999996,0.60000000000000009,0.10803132049005559,0.10803132049005559
96,161,8.375,0.60000000000000009,0.085374048026628457,0.085374048026628457
97,161,8.4000000000000004,0.60000000000000009,0.062773147566405896,0.062773147566405896
98,161,8.4250000000000007,0.60000000000000009,0.040293868991515158,0.040293868991515158
99,161,8.4499999999999993,0.60000000000000009,0.018012021373228049,0.018012021373228049
100,161,8.4749999999999996,0.60000000000000009,0,-0.0039857971097021494
101,161,8.5,0.60000000000000009,0,-0.025602069172708575
102,161,8.5250000000000004,0.60000000000000009,0,-0.046728345775004954
103,161,8.5500000000000007,0.60000000000000009,0,-0.067245380848692249
104,161,8.5749999999999993,0.60000000000000009,0,-0.087023467063391924
105,161,8.5999999999999996,0.60000000000000009,0,-0.10592306941325058
106,161,8.625,0.60000000000000009,0,-0.12379593089382113
107,161,8.6500000000000004,0.60000000000000009,0,-0.14048696078384704
108,161,8.6750000000000007,0.60000000000000009,0,-0.15583744465022376
109,161,8.6999999999999993,0.60000000000000009,0,-0.16969045711745068
110,161,8.7249999999999996,0.60000000000000009,0,-0.18189972685598244
111,161,8.75,0.60000000000000009,0,-0.19234315320181439
112,161,8.7750000000000004,0.60000000000000009,0,-0.20094062874600971
113,161,8.8000000000000007,0.60000000000000009,0,-0.20767183882549334
114,161,8.8249999999999993,0.60000000000000009,0,-0.21258553088087817
115,161,8.8499999999999996,0.60000000000000009,0,-0.2157936303017215
