problem_id,display_name,dimension,sequential_evaluations,total_evaluations,seed_1_normalized_hv,seed_2_normalized_hv,seed_3_normalized_hv,seed_4_normalized_hv,seed_5_normalized_hv,median_normalized_hv
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,8,28,0.27964939012562356,0.35753427063965992,0.42256558325315868,0.46845222319154672,0.30324893869580566,0.35753427063965992
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,9,29,0.29315957340368798,0.35753427063965992,0.44254635343071441,0.47318836510247003,0.30491970906529792,0.35753427063965992
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,10,30,0.29349139460529772,0.36728563525609526,0.44255569371932496,0.47318836510247003,0.3050128294501232,0.36728563525609526
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,11,31,0.30207729285130369,0.36728563525609526,0.46206824936742336,0.47493597632962342,0.3050128294501232,0.36728563525609526
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,12,32,0.30207729285130369,0.41418642424659996,0.46206824936742336,0.47493597632962342,0.32660433142754253,0.41418642424659996
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,13,33,0.32481835881235216,0.41418642424659996,0.52295286945556485,0.48035785588043811,0.32724137561163241,0.41418642424659996
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,14,34,0.32818849014107948,0.42634000483098139,0.5359210952271013,0.49841197697943218,0.32784640516679364,0.42634000483098139
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,15,35,0.34747162067731152,0.43588824568928841,0.5404949093717174,0.49841197697943218,0.32784640516679364,0.43588824568928841
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,16,36,0.34834823442567392,0.43588824653155972,0.5404949093717174,0.49841197697943218,0.32784640516679364,0.43588824653155972
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,17,37,0.35852262796215723,0.43588824653155972,0.5404949093717174,0.49841197697943218,0.32784640516679364,0.43588824653155972
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,18,38,0.35890785353995897,0.43588824653155972,0.55090824787208315,0.49841197697943218,0.32821358863027716,0.43588824653155972
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,19,39,0.36637349625659626,0.44166784665278813,0.55497710133536349,0.51688448473945514,0.33840473240332164,0.44166784665278813
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,20,40,0.36637349625659626,0.44166784665278813,0.55497710133536349,0.51688448473945514,0.33840473240332164,0.44166784665278813
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,21,41,0.36637349625659626,0.44672686262352135,0.56298856532019137,0.52879662685078332,0.33840473240332164,0.44672686262352135
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,22,42,0.36637349625659626,0.47252987647443162,0.5703069861616612,0.53706904011451895,0.33867396914483999,0.47252987647443162
