problem_id,total_evaluations,is_final,record_type,normalized_x1,normalized_x2,pof_score,exact_feasible,predicted_feasible_at_half,error_class,observed_feasible,objective_y1,objective_y2
COSSIN1,50,1,grid,0.00248756218905473,0.490049751243781,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.495024875621891,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.5,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.504975124378109,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.509950248756219,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.514925373134328,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.519900497512438,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.524875621890547,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.529850746268657,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.534825870646766,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.539800995024876,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.544776119402985,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.549751243781095,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.554726368159204,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.559701492537313,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.564676616915423,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.569651741293532,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.574626865671642,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.579601990049751,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.584577114427861,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.58955223880597,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.59452736318408,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.599502487562189,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.604477611940298,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.609452736318408,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.614427860696517,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.619402985074627,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.624378109452736,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.629353233830846,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.634328358208955,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.639303482587065,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.644278606965174,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.649253731343284,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.654228855721393,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.659203980099503,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.664179104477612,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.669154228855721,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.674129353233831,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.67910447761194,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.68407960199005,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.689054726368159,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.694029850746269,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.699004975124378,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.703980099502488,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.708955223880597,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.713930348258706,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.718905472636816,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.723880597014925,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.728855721393035,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.733830845771144,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.738805970149254,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.743781094527363,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.748756218905473,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.753731343283582,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.758706467661692,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.763681592039801,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.76865671641791,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.77363184079602,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.778606965174129,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.783582089552239,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.788557213930348,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.793532338308458,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.798507462686567,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.803482587064677,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.808457711442786,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.813432835820896,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.818407960199005,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.823383084577114,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.828358208955224,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.833333333333333,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.838308457711443,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.843283582089552,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.848258706467662,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.853233830845771,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.858208955223881,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.86318407960199,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.868159203980099,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.873134328358209,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.878109452736318,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.883084577114428,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.888059701492537,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.893034825870647,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.898009950248756,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.902985074626866,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.907960199004975,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.912935323383085,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.917910447761194,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.922885572139303,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.927860696517413,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.932835820895522,1,1,1,3,NaN,,
