solver_id,solver_label,pareto_point_index,retained_evaluations,true_oracle_calls,objective_f1_fabrication_cost,objective_f2_end_deflection
usemoc,USeMOC,12,150,150,36.203119999999998,0.0010579999999999999
usemoc,USeMOC,13,150,150,43.222060999999997,0.00083799999999999999
usemoc,USeMOC,14,150,150,50.006912999999997,0.00051900000000000004
usemoc,USeMOC,15,150,150,93.268942999999993,0.000473
pac_moo,PAC-MOO,1,150,178,15.92191,0.0024870000000000001
pac_moo,PAC-MOO,2,150,178,17.673048999999999,0.0020140000000000002
pac_moo,PAC-MOO,3,150,178,25.608176,0.0019250000000000001
pac_moo,PAC-MOO,4,150,178,25.863318,0.001776
pac_moo,PAC-MOO,5,150,178,28.309252000000001,0.0015950000000000001
pac_moo,PAC-MOO,6,150,178,28.402284000000002,0.0010640000000000001
pac_moo,PAC-MOO,7,150,178,40.493810000000003,0.0010039999999999999
pac_moo,PAC-MOO,8,150,178,41.203256000000003,0.00090399999999999996
pac_moo,PAC-MOO,9,150,178,41.675960000000003,0.00088400000000000002
pac_moo,PAC-MOO,10,150,178,43.836557999999997,0.00080099999999999995
pac_moo,PAC-MOO,11,150,178,44.912827,0.00077499999999999997
pac_moo,PAC-MOO,12,150,178,45.870218000000001,0.00076400000000000003
pac_moo,PAC-MOO,13,150,178,49.989823000000001,0.00073800000000000005
pac_moo,PAC-MOO,14,150,178,52.523598,0.00060499999999999996
pac_moo,PAC-MOO,15,150,178,58.238917000000001,0.00056700000000000001
pac_moo,PAC-MOO,16,150,178,61.494078999999999,0.00050600000000000005
pac_moo,PAC-MOO,17,150,178,65.811672999999999,0.00049799999999999996
pac_moo,PAC-MOO,18,150,178,73.816928000000004,0.00048099999999999998
botorch_qlognehvi,BoTorch qLogNEHVI,1,150,150,3.7063392567640698,0.0224682251340237
botorch_qlognehvi,BoTorch qLogNEHVI,2,150,150,4.1475492592168202,0.0070093344223925904
botorch_qlognehvi,BoTorch qLogNEHVI,3,150,150,6.3301434403228196,0.0054064337162185597
botorch_qlognehvi,BoTorch qLogNEHVI,4,150,150,7.0944578837482997,0.0043814398517178898
botorch_qlognehvi,BoTorch qLogNEHVI,5,150,150,7.8651241730948804,0.0034653625026173701
