x_over_c,z_upper_over_c,z_lower_over_c,z_camber_over_c,dzc_dx_fine,box_j_zero_based,control_x_over_c,control_z_camber_over_c,control_dzc_dx,control_W2GJ
0.77324999999999999,0.036905001057185215,-0.018382023615198164,0.0092614887209935253,-0.015323391022405985,-1,nan,nan,nan,nan
0.77349999999999997,0.036873592334747921,-0.018358281498552804,0.0092576554180975584,-0.015343016563662104,-1,nan,nan,nan,nan
0.77375000000000005,0.036842174631401096,-0.01833454020597771,0.009253817212711693,-0.01536261094159741,-1,nan,nan,nan,nan
0.77400000000000002,0.036810748203009731,-0.018310799977756212,0.0092499741126267597,-0.01538217415620835,-1,nan,nan,nan,nan
0.77424999999999999,0.036779313305438779,-0.018287061054171598,0.0092461261256335907,-0.015401706207473609,-1,nan,nan,nan,nan
0.77449999999999997,0.036747870194553216,-0.018263323675507169,0.0092422732595230234,-0.015421207095418055,-1,nan,nan,nan,nan
0.77475000000000005,0.036716419126217988,-0.018239588082046228,0.0092384155220858796,-0.015440676820048793,-1,nan,nan,nan,nan
0.77500000000000002,0.036684960356298091,-0.018215854514072094,0.0092345529211129984,-0.015460223985559907,38,0.77500000000000002,0.0092345529211129984,-0.015460223985559907,0.015460223985559907
0.77524999999999999,0.036653492804246159,-0.018192121984059957,0.0092306854100931007,-0.015480012418425559,-1,nan,nan,nan,nan
0.77549999999999997,0.036622014725964325,-0.01816838889615675,0.0092268129149037873,-0.015499937883372894,-1,nan,nan,nan,nan
0.77575000000000005,0.036590526350254851,-0.018144655467952023,0.0092229354411514138,-0.015519839373133948,-1,nan,nan,nan,nan
0.77600000000000002,0.03655902792504101,-0.018120921934606571,0.0092190529952172195,-0.015539715337993698,-1,nan,nan,nan,nan
0.77625,0.036527519698245976,-0.018097188531281141,0.0092151655834824178,-0.015559565777952145,-1,nan,nan,nan,nan
0.77649999999999997,0.036496001917792988,-0.018073455493136499,0.0092112732123282443,-0.015579390692987971,-1,nan,nan,nan,nan
0.77675000000000005,0.036464474831605247,-0.018049723055333405,0.009207375888135921,-0.015599190083133152,-1,nan,nan,nan,nan
0.77700000000000002,0.036432938687605998,-0.018025991453032641,0.0092034736172866786,-0.015618963948362818,-1,nan,nan,nan,nan
0.77725,0.036401393733718444,-0.018002260921394963,0.0091995664061617407,-0.015638712288684076,-1,nan,nan,nan,nan
0.77749999999999997,0.036369840217865816,-0.017978531695581144,0.0091956542611423362,-0.015658435104082713,-1,nan,nan,nan,nan
0.77775000000000005,0.036338278387971316,-0.017954804010751921,0.0091917371886096975,-0.015678132394594257,-1,nan,nan,nan,nan
0.77800000000000002,0.036306708491958183,-0.017931078102068104,0.0091878151949450395,-0.01569780416019384,-1,nan,nan,nan,nan
0.77825,0.036275130777749631,-0.017907354204690428,0.0091838882865296016,-0.015717450400870803,-1,nan,nan,nan,nan
0.77849999999999997,0.036243545493268879,-0.017883632553779671,0.0091799564697446039,-0.015737071116650014,-1,nan,nan,nan,nan
0.77875000000000005,0.036211952886439129,-0.017859913384496579,0.0091760197509712753,-0.01575666630752437,-1,nan,nan,nan,nan
0.77900000000000003,0.036180353205183632,-0.01783619693200195,0.0091720781365908412,-0.015776235973497421,-1,nan,nan,nan,nan
0.77925,0.036148746697425585,-0.017812483431456531,0.0091681316329845271,-0.015795780114551405,-1,nan,nan,nan,nan
0.77949999999999997,0.036117133611088217,-0.017788773118021083,0.0091641802465335671,-0.015815298730686322,-1,nan,nan,nan,nan
0.77975000000000005,0.036085514194094739,-0.017765066226856373,0.009160223983619183,-0.01583482785527579,-1,nan,nan,nan,nan
