record_type,aspect_ratio_index,taper_ratio_index,aspect_ratio,taper_ratio,binary_feasibility_score,raw_score,case,period,AR,CDitrim,Ctrim_Nm,constraint,feasible,final_pareto,selection_source,modeled_half_wing_mass_kg,max_screening_stress_mpa,max_shell_vm_mpa,max_cbeam_normal_stress_mpa
grid,189,45,10.699999999999999,0.31000000000000005,0,-0.095220933666934293,,,,,,,,,,,,,
grid,190,45,10.725000000000001,0.31000000000000005,0,-0.11744794138182579,,,,,,,,,,,,,
grid,191,45,10.75,0.31000000000000005,0,-0.13746832606630421,,,,,,,,,,,,,
grid,192,45,10.775,0.31000000000000005,0,-0.15507019034876202,,,,,,,,,,,,,
grid,193,45,10.800000000000001,0.31000000000000005,0,-0.17007824629416834,,,,,,,,,,,,,
grid,194,45,10.824999999999999,0.31000000000000005,0,-0.18237124031110974,,,,,,,,,,,,,
grid,195,45,10.850000000000001,0.31000000000000005,0,-0.19189676085651419,,,,,,,,,,,,,
grid,196,45,10.875,0.31000000000000005,0,-0.19867946334231901,,,,,,,,,,,,,
grid,197,45,10.9,0.31000000000000005,0,-0.20282002797943888,,,,,,,,,,,,,
grid,198,45,10.925000000000001,0.31000000000000005,0,-0.20448498987343622,,,,,,,,,,,,,
grid,199,45,10.949999999999999,0.31000000000000005,0,-0.20389036752187806,,,,,,,,,,,,,
grid,200,45,10.975000000000001,0.31000000000000005,0,-0.20128319847454124,,,,,,,,,,,,,
grid,201,45,11,0.31000000000000005,0,-0.19692444484429805,,,,,,,,,,,,,
grid,202,45,11.025,0.31000000000000005,0,-0.19107519236933113,,,,,,,,,,,,,
grid,203,45,11.050000000000001,0.31000000000000005,0,-0.18398664335441006,,,,,,,,,,,,,
grid,204,45,11.074999999999999,0.31000000000000005,0,-0.17589354020476689,,,,,,,,,,,,,
grid,205,45,11.100000000000001,0.31000000000000005,0,-0.16701031567651425,,,,,,,,,,,,,
grid,206,45,11.125,0.31000000000000005,0,-0.15752924258662182,,,,,,,,,,,,,
grid,207,45,11.15,0.31000000000000005,0,-0.14761996916996101,,,,,,,,,,,,,
grid,208,45,11.175000000000001,0.31000000000000005,0,-0.13742997129778767,,,,,,,,,,,,,
grid,209,45,11.199999999999999,0.31000000000000005,0,-0.12708558324446939,,,,,,,,,,,,,
grid,210,45,11.225000000000001,0.31000000000000005,0,-0.11669337114544076,,,,,,,,,,,,,
grid,211,45,11.25,0.31000000000000005,0,-0.106341688461567,,,,,,,,,,,,,
grid,212,45,11.275,0.31000000000000005,0,-0.096102305925575338,,,,,,,,,,,,,
grid,213,45,11.300000000000001,0.31000000000000005,0,-0.086032045285629466,,,,,,,,,,,,,
grid,214,45,11.324999999999999,0.31000000000000005,0,-0.076174371406575681,,,,,,,,,,,,,
grid,215,45,11.350000000000001,0.31000000000000005,0,-0.066560914482169276,,,,,,,,,,,,,
grid,216,45,11.375,0.31000000000000005,0,-0.057212905770393063,,,,,,,,,,,,,
grid,217,45,11.4,0.31000000000000005,0,-0.048142518135927737,,,,,,,,,,,,,
grid,218,45,11.425000000000001,0.31000000000000005,0,-0.039354107966736218,,,,,,,,,,,,,
grid,219,45,11.449999999999999,0.31000000000000005,0,-0.030845358540615542,,,,,,,,,,,,,
grid,220,45,11.475000000000001,0.31000000000000005,0,-0.022608327211369295,,,,,,,,,,,,,
grid,221,45,11.5,0.31000000000000005,0,-0.014630400242079622,,,,,,,,,,,,,
grid,222,45,11.525,0.31000000000000005,0,-0.0068951599969349076,,,,,,,,,,,,,
grid,223,45,11.550000000000001,0.31000000000000005,0.00061683030848486142,0.00061683030848486142,,,,,,,,,,,,,
grid,224,45,11.574999999999999,0.31000000000000005,0.0079273188824737217,0.0079273188824737217,,,,,,,,,,,,,
grid,225,45,11.600000000000001,0.31000000000000005,0.015059729214910667,0.015059729214910667,,,,,,,,,,,,,
grid,226,45,11.625,0.31000000000000005,0.022038590178570017,0.022038590178570017,,,,,,,,,,,,,
grid,227,45,11.65,0.31000000000000005,0.028889027232646247,0.028889027232646247,,,,,,,,,,,,,
grid,228,45,11.675000000000001,0.31000000000000005,0.035636309851454773,0.035636309851454773,,,,,,,,,,,,,
grid,229,45,11.699999999999999,0.31000000000000005,0.042305450613842055,0.042305450613842055,,,,,,,,,,,,,
grid,230,45,11.725000000000001,0.31000000000000005,0.048920851737265292,0.048920851737265292,,,,,,,,,,,,,
grid,231,45,11.75,0.31000000000000005,0.055505995213552484,0.055505995213552484,,,,,,,,,,,,,
grid,232,45,11.775,0.31000000000000005,0.062083173092200405,0.062083173092200405,,,,,,,,,,,,,
grid,233,45,11.800000000000001,0.31000000000000005,0.068673254852512855,0.068673254852512855,,,,,,,,,,,,,
grid,234,45,11.824999999999999,0.31000000000000005,0.075295489198502374,0.075295489198502374,,,,,,,,,,,,,
grid,235,45,11.850000000000001,0.31000000000000005,0.081967337990499434,0.081967337990499434,,,,,,,,,,,,,
grid,236,45,11.875,0.31000000000000005,0.088704340384291147,0.088704340384291147,,,,,,,,,,,,,
grid,237,45,11.9,0.31000000000000005,0.095520005572243216,0.095520005572243216,,,,,,,,,,,,,
grid,238,45,11.925000000000001,0.31000000000000005,0.1024257328010566,0.1024257328010566,,,,,,,,,,,,,
grid,239,45,11.949999999999999,0.31000000000000005,0.10943075756900184,0.10943075756900184,,,,,,,,,,,,,
grid,240,45,11.975000000000001,0.31000000000000005,0.11654212307418155,0.11654212307418155,,,,,,,,,,,,,
grid,241,45,12,0.31000000000000005,0.12376467608973396,0.12376467608973396,,,,,,,,,,,,,
grid,1,46,6,0.3125,1,1.0501103312583984,,,,,,,,,,,,,
grid,2,46,6.0250000000000004,0.3125,1,1.0707101926091789,,,,,,,,,,,,,
grid,3,46,6.0499999999999998,0.3125,1,1.0912131511030976,,,,,,,,,,,,,
grid,4,46,6.0750000000000002,0.3125,1,1.1114834373630911,,,,,,,,,,,,,
grid,5,46,6.0999999999999996,0.3125,1,1.1313652798716753,,,,,,,,,,,,,
grid,6,46,6.125,0.3125,1,1.1506808128054575,,,,,,,,,,,,,
grid,7,46,6.1500000000000004,0.3125,1,1.1692279663240144,,,,,,,,,,,,,
grid,8,46,6.1749999999999998,0.3125,1,1.1867785809906941,,,,,,,,,,,,,
grid,9,46,6.2000000000000002,0.3125,1,1.2030773785145881,,,,,,,,,,,,,
grid,10,46,6.2249999999999996,0.3125,1,1.2178435079784311,,,,,,,,,,,,,
grid,11,46,6.25,0.3125,1,1.2307794492023598,,,,,,,,,,,,,
grid,12,46,6.2750000000000004,0.3125,1,1.2415994432075468,,,,,,,,,,,,,
grid,13,46,6.2999999999999998,0.3125,1,1.2500964825485819,,,,,,,,,,,,,
grid,14,46,6.3250000000000002,0.3125,1,1.2562332878154043,,,,,,,,,,,,,
grid,15,46,6.3499999999999996,0.3125,1,1.260165910717816,,,,,,,,,,,,,
grid,16,46,6.375,0.3125,1,1.2621678973644064,,,,,,,,,,,,,
grid,17,46,6.4000000000000004,0.3125,1,1.262546917575774,,,,,,,,,,,,,
grid,18,46,6.4249999999999998,0.3125,1,1.2616023944801065,,,,,,,,,,,,,
grid,19,46,6.4500000000000002,0.3125,1,1.2596105922577583,,,,,,,,,,,,,
grid,20,46,6.4749999999999996,0.3125,1,1.2568208991626266,,,,,,,,,,,,,
grid,21,46,6.5,0.3125,1,1.2534560958262229,,,,,,,,,,,,,
grid,22,46,6.5250000000000004,0.3125,1,1.2497139785765339,,,,,,,,,,,,,
grid,23,46,6.5499999999999998,0.3125,1,1.2457693841149489,,,,,,,,,,,,,
grid,24,46,6.5750000000000002,0.3125,1,1.2417762557869274,,,,,,,,,,,,,
grid,25,46,6.5999999999999996,0.3125,1,1.2378696119644794,,,,,,,,,,,,,
grid,26,46,6.625,0.3125,1,1.2341673640437252,,,,,,,,,,,,,
grid,27,46,6.6500000000000004,0.3125,1,1.2307719679127405,,,,,,,,,,,,,
grid,28,46,6.6749999999999998,0.3125,1,1.2277719085348955,,,,,,,,,,,,,
grid,29,46,6.7000000000000002,0.3125,1,1.2252430241780172,,,,,,,,,,,,,
grid,30,46,6.7249999999999996,0.3125,1,1.2232496795873167,,,,,,,,,,,,,
grid,31,46,6.75,0.3125,1,1.2218457980941104,,,,,,,,,,,,,
grid,32,46,6.7750000000000004,0.3125,1,1.2210757621324237,,,,,,,,,,,,,
grid,33,46,6.7999999999999998,0.3125,1,1.2209751901866015,,,,,,,,,,,,,
grid,34,46,6.8250000000000002,0.3125,1,1.2215715957558726,,,,,,,,,,,,,
grid,35,46,6.8499999999999996,0.3125,1,1.2228849301531368,,,,,,,,,,,,,
grid,36,46,6.875,0.3125,1,1.224928005197806,,,,,,,,,,,,,
grid,37,46,6.9000000000000004,0.3125,1,1.2277067830689989,,,,,,,,,,,,,
