record_type,case_id,phase,source,x1_ar,x2_taper_ratio,x3_primary_member_ratio,x4_secondary_member_ratio,y1_cditrim,y2_ctrim_nm,c_feasible_label,c_failure_reason,final_pareto,normalized_x1_ar,normalized_x2_taper_ratio,normalized_x3_primary_member_ratio,normalized_x4_secondary_member_ratio
evaluation,26,initial_design,LHS,8.61850710412118,0.758448562282204,0.396221457689289,0.419353164429923,0.008417454560047897,76.49191829659222,false,skin stress,false,0.4364178506868634,0.9307476038036733,0.9892041648265402,0.7695804697997799
evaluation,27,initial_design,LHS,6.08453052748098,0.508808289578874,0.0591278928737032,0.280668870100464,0.010334424614667267,19.962422539631817,false,lattice stress,false,0.014088421246829963,0.5146804826314567,0.026079693924866282,0.37333962885846855
evaluation,28,initial_design,LHS,9.54355370933676,0.483955615400611,0.158296695393669,0.24499033816448,0.006827757102993304,68.17770853981266,false,skin stress,false,0.5905922848894599,0.47325935900101834,0.30941912969619717,0.27140096618422854
evaluation,29,initial_design,LHS,7.3875151590941,0.643415498457337,0.14398682396387,0.455549947458037,0.008860480255377404,40.01009119551488,false,skin stress,false,0.23125252651568337,0.7390258307622284,0.26853378275391426,0.8729998498801057
evaluation,30,initial_design,LHS,11.1915732821967,0.285575835630773,0.334613155935868,0.332513759633173,0.006244878642218439,74.86449269182644,false,skin stress,false,0.86526221369945,0.14262639271795496,0.8131804455310515,0.5214678846662085
evaluation,31,adaptive_phase,adaptive,7.099406279890274,0.20003434233206205,0.09813313526134776,0.4999993667104473,0.009090738544499733,16.237341487971495,true,feasible,true,0.1832343799817123,5.723722010339549e-05,0.13752324360385074,0.999998190601278
evaluation,32,adaptive_phase,adaptive,6.693470042627528,0.2696518311725999,0.05003031982292529,0.45760668429687323,0.009329892202867847,16.953692042980123,false,lattice stress,false,0.1155783404379213,0.11608638528766646,8.662806550081243e-05,0.8788762408482093
evaluation,33,adaptive_phase,adaptive,9.227112116310336,0.20003164962270606,0.11238580820478711,0.15000287991556377,0.007026015592198088,34.99591902020095,true,feasible,true,0.5378520193850559,5.274937117674683e-05,0.17824516629939174,8.228330182213917e-06
evaluation,34,adaptive_phase,adaptive,8.591540102784826,0.2000160410573461,0.2056645567601489,0.4006005594783396,0.00787853358965881,27.13951882212881,true,feasible,false,0.4319233504641377,2.6735095576824186e-05,0.4447558764575683,0.7160015985095417
evaluation,35,adaptive_phase,adaptive,7.773534050815053,0.20000505688264122,0.3999999818184432,0.1500333615206004,0.009500874773356094,20.568302774727687,true,feasible,false,0.2955890084691755,8.428137735355667e-06,0.999999948052695,9.531863028687328e-05
evaluation,36,adaptive_phase,adaptive,6.367254858068035,0.20003549398402845,0.12096257177722089,0.313567199534024,0.010299051132739215,11.910053368458218,true,feasible,true,0.06120914301133921,5.9156640047399366e-05,0.20275020507777397,0.4673348558114972
evaluation,37,adaptive_phase,adaptive,6.6867697591199855,0.2000609402952201,0.050016507764657894,0.1500014908700283,0.009408487020013451,14.658171321975804,true,feasible,true,0.11446162651999758,0.00010156715870013322,4.716504187969e-05,4.259628652263687e-06
evaluation,38,adaptive_phase,adaptive,8.090467240031042,0.20004867711682625,0.05204354267630477,0.2053616273241588,0.007792999901031286,24.633990631193626,false,lattice stress,false,0.3484112066718404,8.11285280437335e-05,0.005838693360870756,0.15817607806902517
evaluation,39,adaptive_phase,adaptive,6.000706860318749,0.2309047906499493,0.16707981182730064,0.46428263128932556,0.011283030458540674,10.465443060155561,true,feasible,false,0.00011781005312479682,0.05150798441658213,0.3345137480780018,0.8979503751123588
evaluation,40,adaptive_phase,adaptive,6.0002968243986725,0.3103016736286488,0.05139864871237341,0.1500315355073877,0.01042477015661332,13.753412501837186,false,lattice stress,false,4.947073311208546e-05,0.18383612271441466,0.003996139178209731,9.010144967918394e-05
evaluation,41,adaptive_phase,adaptive,7.354405424392972,0.20000414343539902,0.11638338960424995,0.31406782851252574,0.008808344359736415,17.871041504122502,true,feasible,true,0.2257342373988287,6.905725665011057e-06,0.18966682744071414,0.46876522432150214
evaluation,42,adaptive_phase,adaptive,7.5303334213177076,0.2000205177478771,0.2546591747489949,0.3009739089502312,0.009302315141017276,18.756880813362013,true,feasible,false,0.25505557021961794,3.419624646181878e-05,0.5847404992828427,0.43135402557208913
