topology,case_id,design_id,X1_cell_size_m,X2_t1_over_a,Y1_two_wing_mass_kg,Y2_two_wing_trim_compliance_Nm,C_binary_feasible,C_signed_recorded,within_topology_observed_pareto,pooled_observed_pareto,evaluation_period,field_output_available,half_wing_skin_mass_kg,half_wing_lattice_mass_kg,flutter_confirmation,harmonized_rerun_pass,harmonized_maximum_damping
FCC,58,FCC58,0.014989043592949069,0.1251390896246103,44.27385549030852,48.853244141055846,1,-1,1,1,continuation_052_071,1,16.17577607795001,5.961151667204247,harmonized_18_point_rerun,1,-4.8272563e-07
FCC,59,FCC59,0.012400679973015992,0.27530734766363846,66.56609279910326,45.20292443180766,1,-1,1,1,continuation_052_071,1,16.17577607795001,17.107270321601618,harmonized_18_point_rerun,1,-2.9167218e-06
FCC,60,FCC60,0.013684258523456944,0.1737594200609565,51.57534126290716,47.52689975688773,1,-1,1,0,continuation_052_071,1,16.17577607795001,9.61189455350357,harmonized_18_point_rerun,1,-5.1541805e-07
FCC,61,FCC61,0.01022999196656391,0.38190066809309264,80.91764982465605,43.7806238640196,1,-1,1,1,continuation_052_071,1,16.17577607795001,24.28304883437801,harmonized_18_point_rerun,1,-3.5372633e-06
FCC,62,FCC62,0.010510700328164884,0.3372222680759949,75.23794376659674,44.409731998309866,1,-1,1,1,continuation_052_071,1,16.17577607795001,21.44319580534836,harmonized_18_point_rerun,1,-2.4584191e-06
FCC,63,FCC63,0.012909109697560369,0.19803472523864302,55.21552424928181,46.92791426167608,1,-1,1,0,continuation_052_071,1,16.17577607795001,11.431986046690893,harmonized_18_point_rerun,1,-8.1462539e-07
FCC,64,FCC64,0.012888115448808314,0.22917074192292203,59.91323398309278,46.17829429078607,1,-1,1,1,continuation_052_071,1,16.17577607795001,13.78084091359638,harmonized_18_point_rerun,1,-1.4220703e-06
FCC,65,FCC65,0.012389088934457462,0.24808282660898523,62.64022805147738,45.69653190762304,1,-1,1,1,continuation_052_071,1,16.17577607795001,15.144337947788676,harmonized_18_point_rerun,1,-1.8990185e-06
FCC,66,FCC66,0.013786726631010385,0.1499899492497222,47.963952676309276,48.1674175710636,1,-1,1,1,continuation_052_071,1,16.17577607795001,7.806200260204628,harmonized_18_point_rerun,1,-4.3255689e-07
FCC,67,FCC67,0.01098570403885722,0.30472447130063773,70.91264984721771,44.8248781893566,1,-1,1,1,continuation_052_071,1,16.17577607795001,19.280548845658842,prior_FCC67_18_point_diagnostic,,
FCC,68,FCC68,0.012244521805453833,0.2620864410188021,64.81701765916564,45.423871145184954,1,-1,1,1,continuation_052_071,1,16.17577607795001,16.23273275163281,harmonized_18_point_rerun,1,-2.1519682e-06
FCC,69,FCC69,0.015320986037226317,0.10701224051738707,41.808195872997736,49.40383954570708,1,-1,1,1,continuation_052_071,1,16.17577607795001,4.728321858548855,harmonized_18_point_rerun,1,-1.1417504e-06
FCC,70,FCC70,0.015443574890096233,0.093826622786741,39.973074817524164,49.84906427017138,1,-1,1,1,continuation_052_071,1,16.17577607795001,3.810761330812072,harmonized_18_point_rerun,1,-7.1176535e-07
FCC,71,FCC71,0.012858414621852656,0.22029711034482008,58.64807454040036,46.371129602984325,1,-1,1,0,continuation_052_071,1,16.17577607795001,13.148261192250166,harmonized_18_point_rerun,1,-1.1758905e-06
BCC,1,BCC01,0.014497465881388694,0.16057489604057182,46.58177824352805,49.78614525746938,1,-1,1,0,inherited_001_051,1,16.17577607795001,7.115113043814014,harmonized_18_point_rerun,1,-4.982641e-07
BCC,2,BCC02,0.013489809769081462,0.3561001237359964,70.2079698143592,48.726767659089546,0,1,0,0,inherited_001_051,1,16.17577607795001,18.92820882922959,outside_static_admissible_subset,,
BCC,3,BCC03,0.026988085896669713,0.30150003108759144,63.6333162680837,48.97784613985971,0,1,0,0,inherited_001_051,1,16.17577607795001,15.64088205609184,outside_static_admissible_subset,,
BCC,4,BCC04,0.028601846554686623,0.11147662609462537,40.54621941502202,50.31760854317956,0,1,0,0,inherited_001_051,1,16.17577607795001,4.0973336295610014,outside_static_admissible_subset,,
BCC,5,BCC05,0.010218193494928402,0.05247577318844703,34.693160501479056,51.803946334069366,0,1,0,0,inherited_001_051,1,16.17577607795001,1.1708041727895178,outside_static_admissible_subset,,
BCC,6,BCC06,0.018081417149589107,0.2477505681905317,57.45588278205699,49.24655698074161,1,-1,0,0,inherited_001_051,1,16.17577607795001,12.552165313078481,harmonized_18_point_rerun,1,-1.209692e-06
BCC,7,BCC07,0.016905568940072394,0.3931191662349077,73.96685919710612,48.699382058255075,1,-1,0,0,inherited_001_051,1,16.17577607795001,20.807653520603044,harmonized_18_point_rerun,1,-5.0146506e-07
BCC,8,BCC08,0.021722751114342638,0.21621206497083895,53.48678548192443,49.15083527445473,0,1,0,0,inherited_001_051,1,16.17577607795001,10.567616663012204,outside_static_admissible_subset,,
BCC,9,BCC09,0.023701411988881885,0.27343843633486764,60.340045673943024,48.909543794296276,1,-1,1,0,inherited_001_051,1,16.17577607795001,13.9942467590215,harmonized_18_point_rerun,1,-1.2240359e-06
BCC,10,BCC10,0.025484983491752523,0.1384348902884045,43.760491487729,49.89504646169713,0,1,0,0,inherited_001_051,1,16.17577607795001,5.704469665914487,outside_static_admissible_subset,,
BCC,11,BCC11,0.020264197528362272,0.3621707077324391,70.4383870289428,48.55424135491779,1,-1,0,0,inherited_001_051,1,16.17577607795001,19.043417436521384,harmonized_18_point_rerun,1,-1.374785e-06
BCC,12,BCC12,0.03,0.05,34.47198911997801,52.347768227832354,0,1,0,0,inherited_001_051,1,16.17577607795001,1.060218482038993,outside_static_admissible_subset,,
BCC,13,BCC13,0.02421811211109161,0.05,34.506120204173,52.08392798900901,0,1,0,0,inherited_001_051,1,16.17577607795001,1.0772840241364885,outside_static_admissible_subset,,
BCC,14,BCC14,0.018736498894563757,0.10767036512494088,40.139018430557634,50.37247126417367,0,1,0,0,inherited_001_051,1,16.17577607795001,3.8937331373288053,outside_static_admissible_subset,,
BCC,15,BCC15,0.01,0.05,34.48981275261367,51.92165161773531,0,1,0,0,inherited_001_051,1,16.17577607795001,1.0691302983568245,outside_static_admissible_subset,,
BCC,16,BCC16,0.01,0.1030880892276764,39.69452763587449,50.46801136776908,0,1,0,0,inherited_001_051,1,16.17577607795001,3.671487739987235,outside_static_admissible_subset,,
BCC,17,BCC17,0.01,0.12232000783085824,41.884856517298466,50.23086577071996,1,-1,1,0,inherited_001_051,1,16.17577607795001,4.766652180699222,harmonized_18_point_rerun,1,-5.1151769e-07
BCC,18,BCC18,0.03,0.37384541064500815,71.56877300039517,49.13156293919955,0,1,0,0,inherited_001_051,1,16.17577607795001,19.608610422247576,outside_static_admissible_subset,,
BCC,19,BCC19,0.01768629993467855,0.05,34.492417473243286,52.08727911363018,0,1,0,0,inherited_001_051,1,16.17577607795001,1.0704326586716308,outside_static_admissible_subset,,
BCC,20,BCC20,0.015379882812499999,0.07629461780190469,36.81603892082214,50.96511398016918,0,1,0,0,inherited_001_051,1,16.17577607795001,2.232243382461059,outside_static_admissible_subset,,
BCC,21,BCC21,0.01494760537338417,0.05,34.48447911427109,52.06362754958243,0,1,0,0,inherited_001_051,1,16.17577607795001,1.0664634791855314,outside_static_admissible_subset,,
BCC,22,BCC22,0.019164315938949586,0.05,34.471962111760405,52.05435083495921,0,1,0,0,inherited_001_051,1,16.17577607795001,1.0602049779301903,outside_static_admissible_subset,,
