beam_element_id,grid_a,grid_b,original_length_m,final_length_m
851538,508499,508462,0.006767861385434779,0.006767861385434779
851550,508511,508502,0.002319091170634884,0.0015987505094593082
851560,508519,508498,0.006767906282345136,0.006767906282345136
851561,508520,508499,0.006767904277537091,0.006767904277537091
851562,508520,508511,0.002319132878421956,0.003720941470335245
851564,508522,508520,0.002371213771455253,0.003754163848955938
851576,508532,508522,0.0023712552593304834,0.0016730668342986254
851582,508538,508519,0.006767819752267901,0.006767819752267901
851583,508539,508520,0.006767817747434224,0.006767817747434224
851635,508574,507063,0.005771165986903211,0.005771165986903211
851636,508574,507087,0.005426258954465119,0.005426258954465119
851637,508574,507088,0.005426254788457241,0.005426254788457241
851638,508574,507121,0.004787548650872735,0.004787548650872735
851639,508574,508538,0.0067677781263292495,0.0067677781263292495
851640,508574,508539,0.006767774786114185,0.006767774786114185
851654,508589,508574,0.006755723389089279,0.006755723389089279
851655,508590,508574,0.0067557200429140185,0.0067557200429140185
851664,508600,508598,0.002461365571373129,0.001691257940178931
851678,508609,508589,0.00675572321702262,0.00675572321702262
851679,508610,508590,0.006755721208599165,0.006755721208599165
851680,508610,508600,0.00246140705674627,0.003954821185666265
851703,508624,508610,0.0025182526960870265,0.0039896241431628555
851709,508631,508624,0.002518252688907395,0.0017758287143689643
851719,508641,508609,0.006756588374164351,0.006756588374164351
851720,508642,508610,0.006756586365998068,0.006756586365998068
853545,509996,508382,0.00580353335348031,0.00580353335348031
853600,510028,508462,0.004875858745412132,0.004875858745412132
853636,510051,508462,0.005463495746306669,0.005463495746306669
853637,510052,508462,0.005463491608692497,0.005463491608692497
853652,510065,508462,0.005788732211400696,0.005788732211400696
853702,510112,508574,0.004868464784629838,0.004868464784629838
853737,510139,508574,0.005466981410241315,0.005466981410241315
853738,510140,508574,0.005466977275265224,0.005466977275265224
853761,510163,508574,0.005773831926413492,0.005773831926413492
854722,510951,510510,0.0018461172414840608,0.0018461172414840608
854773,510987,510524,0.001969570137114483,0.001969570137114483
855304,511362,509996,0.005803520583421308,0.005803520583421308
855305,511362,510028,0.0048758439038277,0.0048758439038277
855334,511387,510051,0.005463482219733143,0.005463482219733143
855335,511388,510052,0.005463479736270492,0.005463479736270492
855336,511388,510951,0.0018461063327424626,0.0018461063327424626
855398,511429,510065,0.005788691956026181,0.005788691956026181
855399,511429,510112,0.004868428048500938,0.004868428048500938
855494,511482,510139,0.005466994870007746,0.005466994870007746
855495,511483,510140,0.00546699238814077,0.00546699238814077
855496,511483,510987,0.001969564750508799,0.001969564750508799
855541,511520,510163,0.005773818905128308,0.005773818905128308
855542,511520,510202,0.00486215648288776,0.00486215648288776
855962,511836,511388,0.0018721937693130203,0.0018721937693130203
856085,511923,511483,0.001996775679984128,0.001996775679984128
856493,512218,511836,0.0018721695442375493,0.0018721695442375493
856621,512322,511923,0.0019967706696837157,0.0019967706696837157
857017,512646,511362,0.004977528828167181,0.004977528828167181
857064,512681,511362,0.005827701830231,0.005827701830231
857090,512705,511387,0.00552379027361913,0.00552379027361913
857091,512706,511388,0.005523787817270627,0.005523787817270627
857117,512733,511429,0.004963787636222293,0.004963787636222293
857156,512768,511429,0.005813010666847595,0.005813010666847595
857177,512787,511482,0.005524611626612432,0.005524611626612432
857178,512788,511483,0.005524609170629119,0.005524609170629119
857214,512807,511520,0.004950174353077557,0.004950174353077557
857246,512838,511520,0.005798574638178671,0.005798574638178671
858917,514073,512646,0.004977409731251171,0.004977409731251171
858954,514104,514073,0.00677859403334543,0.00677859403334543
858955,514105,514073,0.006778590698460007,0.006778590698460007
858965,514116,514106,0.002199566491683703,0.001518101404502454
858976,514122,514104,0.006778594031692394,0.006778594031692394
858977,514123,514105,0.006778592030045313,0.006778592030045313
858978,514123,514116,0.002199650452990652,0.00352704419239911
859009,514131,514123,0.002248563345741073,0.0035575920774348815
859029,514141,514131,0.0022486469609432416,0.0015883762437566935
859038,514150,514122,0.006774606873460115,0.006774606873460115
859039,514151,514123,0.006774604870634976,0.006774604870634976
859061,514164,512681,0.005827688358930269,0.005827688358930269
859062,514164,512705,0.005523776163754955,0.005523776163754955
859063,514164,512706,0.0055237720712941855,0.0055237720712941855
859064,514164,512733,0.004963853464227029,0.004963853464227029
859065,514164,514150,0.006774689940223898,0.006774689940223898
859066,514164,514151,0.006774686603416658,0.006774686603416658
859094,514192,514164,0.00676622874719994,0.00676622874719994
859095,514193,514164,0.006766225406220009,0.006766225406220009
859100,514200,514196,0.002346513104109677,0.0016161475985924368
859110,514209,514192,0.006766270122097729,0.006766270122097729
859111,514210,514193,0.0067662681168049,0.0067662681168049
859112,514210,514200,0.0023464714872979864,0.0037667601983901538
859117,514215,514210,0.0023988898715241293,0.003799595770690394
