grid_id,category,mpc_connected,observed_move_m,original_x_m,original_y_m,original_z_m,final_x_m,final_y_m,final_z_m,projection_x_m,projection_y_m,projection_z_m,projection_distance_m,selected_shell_element_id,N1,N2,N3,full_lattice_degree
517441,rejected_snap_beam_length,0,0.0,0.2847933173,1.023768186,0.03064619191,0.2847933173,1.023768186,0.03064619191,0.2847957810709776,1.0237861964979365,0.0321853442789703,0.001539259712689917,450729,0.3906102370796204,0.4327504208012737,0.1766393421191059,2
517533,rejected_snap_beam_length,0,0.0,0.2849943042,1.004838586,0.03075594641,0.2849943042,1.004838586,0.03075594641,0.2849971736406307,1.0048578135991746,0.03240492887350886,0.0016490970557305937,450699,0.05968862556929255,0.06489486438889668,0.8754165100418108,2
517633,rejected_snap_beam_length,0,0.0,0.2852156758,0.9859783053,0.03086527623,0.2852156758,0.9859783053,0.03086527623,0.285218450090999,0.98599860368886,0.032623441015974065,0.0017582841453872289,450653,0.3297192212986134,0.5618669018710089,0.10841387683037775,2
517799,within_mpc_tolerance,1,0.0,0.2856179476,1.023618698,0.03218596429,0.2856179476,1.023618698,0.03218596429,0.2856179476019849,1.023618698013522,0.03218596545545577,1.1655358983130648e-09,450731,0.3683770452575009,0.04719251903864865,0.5844304357038504,1
517909,within_mpc_tolerance,1,0.0,0.2858784497,1.00467968,0.03240547329,0.2858784497,1.00467968,0.03240547329,0.2858784496985005,1.0046796799899522,0.03240547242829502,8.61764860593497e-10,450699,0.0919670877274702,0.304656934503106,0.6033759777694238,1
518048,within_mpc_tolerance,1,0.0,0.2861593068,0.9858101606,0.03262413293,0.2861593068,0.9858101606,0.03262413293,0.286159306798548,0.9858101605893761,0.03262413200980237,9.2026010508443e-10,450653,0.2684942972579814,0.3008692781981986,0.43063642454382006,1
518338,beyond_snap_tolerance,0,0.0,0.2865666747,1.023446798,0.01455331128,0.2865666747,1.023446798,0.01455331128,0.2865967016152067,1.0236513535445588,0.03218391964779305,0.017631820552765978,450731,0.0585908502395911,0.2483327200962652,0.6930764296641437,2
518339,beyond_snap_tolerance,0,0.0,0.2865666747,1.023446798,0.02425538376,0.2865666747,1.023446798,0.02425538376,0.28658018016307524,1.0235388027009442,0.03218525363394133,0.007930415088768746,450731,0.07044629279060322,0.2680015925256643,0.6615521146837325,2
518358,beyond_snap_tolerance,0,0.0,0.2866014838,1.018713593,0.01940434799,0.2866014838,1.018713593,0.01940434799,0.2866236819910184,1.0188627947653706,0.03223949250578549,0.012836030876699095,450716,0.34822447402938705,0.4076724659541849,0.24410306001642812,2
518384,beyond_snap_tolerance,0,0.0,0.2866743803,1.009256959,0.01940434799,0.2866743803,1.009256959,0.01940434799,0.28669798390273754,1.009407715117044,0.032349186234320926,0.01294573758843126,450694,0.2943604191251898,0.38265915461794975,0.32298042625686046,2
