Case,NormalizedSemispan,LiftPerUnitSpan_N_m
37,0.2275,2082.06604168836
37,0.23,2079.1249960212
37,0.2325,2076.16758040316
37,0.235,2073.19401698215
37,0.2375,2070.20451985256
37,0.24,2067.19929504334
37,0.2425,2064.17854051665
37,0.245,2061.14244617719
37,0.2475,2058.09119389208
37,0.25,2055.02495752109
37,0.2525,2051.94390295733
37,0.255,2048.8481881781
37,0.2575,2045.73796330578
37,0.26,2042.61337067879
37,0.2625,2039.4745449322
37,0.265,2036.32161308804
37,0.2675,2033.15469465493
37,0.27,2029.97390173704
37,0.2725,2026.77933915194
37,0.275,2023.57110455725
37,0.2775,2020.34928858589
37,0.28,2017.11397498947
37,0.2825,2013.8652407898
37,0.285,2010.60315643803
37,0.2875,2007.32778598136
37,0.29,2004.03918723674
37,0.2925,2000.73741197147
37,0.295,1997.42250609034
37,0.2975,1994.09450982883
37,0.3,1990.75345795225
37,0.3025,1987.3993799603
37,0.305,1984.03230029674
37,0.3075,1980.65223856386
37,0.31,1977.25920974127
37,0.3125,1973.85322440872
37,0.315,1970.43428897249
37,0.3175,1967.00240589504
37,0.32,1963.55757392739
37,0.3225,1960.09978834396
37,0.325,1956.62904117939
37,0.3275,1953.14532146691
37,0.33,1949.64861547788
37,0.3325,1946.13890696209
37,0.335,1942.61617738834
37,0.3375,1939.08040618492
37,0.34,1935.53157097957
37,0.3425,1931.96964783851
37,0.345,1928.39461150401
37,0.3475,1924.80643563024
37,0.35,1921.20509301686
37,0.3525,1917.59055583998
37,0.355,1913.96279588008
37,0.3575,1910.32178474643
37,0.36,1906.66749409769
37,0.3625,1902.9998958582
37,0.365,1899.3189624297
37,0.3675,1895.62466689785
37,0.37,1891.91698323349
37,0.3725,1888.19588648798
37,0.375,1884.46135298251
37,0.3775,1880.71336049073
37,0.38,1876.95188841475
37,0.3825,1873.17691795376
37,0.385,1869.38843226528
37,0.3875,1865.58641661856
37,0.39,1861.77085853991
37,0.3925,1857.94174794964
37,0.395,1854.09907729034
37,0.3975,1850.24284164632
37,0.4,1846.37303885388
37,0.4025,1842.48966960228
37,0.405,1838.59273752515
37,0.4075,1834.68224928213
37,0.41,1830.7582146307
37,0.4125,1826.82064648789
37,0.415,1822.86956098186
37,0.4175,1818.90497749318
37,0.42,1814.92691868573
37,0.4225,1810.93541052716
37,0.425,1806.93048229888
37,0.4275,1802.91216659546
37,0.43,1798.88049931355
37,0.4325,1794.83551963024
37,0.435,1790.77726997097
37,0.4375,1786.70579596695
37,0.44,1782.62114640227
37,0.4425,1778.52337315071
37,0.445,1774.41253110248
37,0.4475,1770.28867808089
37,0.45,1766.15187474924
37,0.4525,1762.00218450804
37,0.455,1757.83967338288
37,0.4575,1753.66440990299
37,0.46,1749.47646497098
37,0.4625,1745.27591172382
37,0.465,1741.06282538552
37,0.4675,1736.83728311177
37,0.47,1732.5993638268
37,0.4725,1728.34914805302
37,0.475,1724.0867177336
37,0.4775,1719.81215604854
37,0.48,1715.5255472246
37,0.4825,1711.2269763395
37,0.485,1706.91652912095
37,0.4875,1702.59429174082
37,0.49,1698.26035060514
37,0.4925,1693.91479214022
37,0.495,1689.55770257563
37,0.4975,1685.18916772439
37,0.5,1680.80927276106
37,0.5025,1676.4181019982
37,0.505,1672.01573866179
37,0.5075,1667.60226466624
37,0.51,1663.17776038956
37,0.5125,1658.74230444921
37,0.515,1654.29597347941
37,0.5175,1649.83884191031
37,0.52,1645.37098174979
37,0.5225,1640.89246236851
37,0.525,1636.4033502887
37,0.5275,1631.90370897738
37,0.53,1627.39359864475
37,0.5325,1622.8730760481
37,0.535,1618.34219430212
37,0.5375,1613.801002696
37,0.54,1609.24954651803
37,0.5425,1604.6878668883
37,0.545,1600.11600059995
37,0.5475,1595.53397996964
37,0.55,1590.9418326978
37,0.5525,1586.33958173899
37,0.555,1581.7272451832
37,0.5575,1577.10483614824
37,0.56,1572.47236268395
37,0.5625,1567.82982768848
37,0.565,1563.17722883716
37,0.5675,1558.51455852435
37,0.57,1553.84180381849
37,0.5725,1549.15894643088
37,0.575,1544.46596269829
37,0.5775,1539.76282357977
37,0.58,1535.04949466779
37,0.5825,1530.32593621396
37,0.585,1525.59210316943
37,0.5875,1520.84794524004
37,0.59,1516.0934069563
37,0.5925,1511.32842775819
37,0.595,1506.55294209467
37,0.5975,1501.76687953799
37,0.6,1496.97016491234
37,0.6025,1492.16271843697
37,0.605,1487.34445588327
37,0.6075,1482.51528874564
37,0.61,1477.67512442575
37,0.6125,1472.82386642971
37,0.615,1467.96141457776
37,0.6175,1463.08766522585
37,0.62,1458.20251149856
37,0.6225,1453.30584353273
37,0.625,1448.3975487309
37,0.6275,1443.47751202404
37,0.63,1438.54561614251
37,0.6325,1433.60174189441
37,0.635,1428.64576845039
37,0.6375,1423.67757363379
37,0.64,1418.69703421514
37,0.6425,1413.70402620978
37,0.645,1408.69842517734
37,0.6475,1403.680106522
37,0.65,1398.64894579197
37,0.6525,1393.60481897699
37,0.655,1388.54760280227
37,0.6575,1383.47717501752
37,0.66,1378.39341467939
37,0.6625,1373.29620242587
37,0.665,1368.18542074092
37,0.6675,1363.06095420771
37,0.67,1357.92268974872
37,0.6725,1352.77051685104
37,0.675,1347.60432777501
37,0.6775,1342.42401774441
37,0.68,1337.22948511648
37,0.6825,1332.02063152978
37,0.685,1326.79736202816
37,0.6875,1321.55958515895
37,0.69,1316.30721304347
37,0.6925,1311.04016141807
37,0.695,1305.75834964384
37,0.6975,1300.46170068316
37,0.7,1295.15014104128
37,0.7025,1289.82360067118
37,0.705,1284.48201284002
37,0.7075,1279.12531395544
37,0.71,1273.75344335011
37,0.7125,1268.36634302299
37,0.715,1262.96395733576
37,0.7175,1257.54623266312
37,0.72,1252.11311699554
37,0.7225,1246.66455949319
37,0.725,1241.20050999019
37,0.7275,1235.72091844788
37,0.73,1230.22573435645
37,0.7325,1224.71490608411
37,0.735,1219.18838017326
37,0.7375,1213.64610058322
37,0.74,1208.08800787918
37,0.7425,1202.51403836744
37,0.745,1196.9241231769
37,0.7475,1191.31818728706
37,0.75,1185.69614850322
37,0.7525,1180.05791637926
37,0.755,1174.4033910892
37,0.7575,1168.73246224847
