Campaign,FromCase,ToCase,Quantity,FromValue,ToValue,Change,Ratio,Change_pct
Coupled,4,64,NominalTipDiameter_mm,4.54675756692886,0.20693953960955438,-4.339818027319305,0.04551365155572462,-95.44863484442754
Coupled,4,64,WingMassTotal_kg,105.38593585849608,36.435541864251284,-68.95039399424479,0.3457343863527867,-65.42656136472134
Coupled,4,64,SkinMassTwoWing_kg,32.8369866017944,32.6245221826474,-0.21246441914700398,0.9935297223912929,-0.6470277608707109
Coupled,4,64,LatticeMassTwoWing_kg,72.5489492567016,3.81101968160384,-68.73792957509777,0.05253032222588396,-94.74696777741161
Coupled,4,64,CDitrim,0.013097431856977027,0.008382788694924672,-0.004714643162052355,0.6400330069638152,-35.996699303618485
Coupled,4,64,Ctrim_Nm,9.3272810223876,19.582807292172536,10.255526269784935,2.0995193824619776,109.95193824619776
Coupled,4,64,ScreenUtilization,0.3266712727272727,0.783065,0.4563937272727273,2.397103955491537,139.7103955491537
Coupled,4,64,HalfWingLLTLift_N,3458.545711974189,3120.471833085998,-338.0738788881913,0.9022497005843495,-9.77502994156505
Coupled,4,64,RootLLTAeroMoment_Nm,2624.5285384372023,2634.1646629284733,9.636124491270948,1.0036715639971698,0.36715639971698355
Coupled,4,64,LiftCentroid_m,0.758853216642634,0.8441558853371895,0.0853026686945555,1.112409971815046,11.240997181504596
Coupled,4,64,LiftCentroidOverSemispan,0.40657253767850277,0.4048866917607306,-0.0016858459177721552,0.9958535174869454,-0.41464825130546057
Coupled,4,64,MaxAbsTrimVerticalDisplacement_m,0.00579897439093787,0.0124121947229321,0.006613220331994229,2.140412060161671,114.04120601616712
Coupled,4,99,Semispan_m,1.8664645206378825,2.512469758327456,0.6460052376895733,1.3461117157848759,34.611171578487586
Coupled,4,99,RootChord_m,1.0369247336877123,0.7702680043632211,-0.26665672932449125,0.7428388766693268,-25.716112333067322
Coupled,4,99,NominalRootDiameter_mm,9.09351513385772,2.3688819845006255,-6.7246331493570946,0.260502341463161,-73.9497658536839
Coupled,4,99,NominalTipDiameter_mm,4.54675756692886,0.5988351231761996,-3.94792244375266,0.1317059716427078,-86.82940283572921
Coupled,4,99,WingMassTotal_kg,105.38593585849608,40.54501051830333,-64.84092534019275,0.384728855781515,-61.52711442184851
Coupled,4,99,SkinMassTwoWing_kg,32.8369866017944,32.3602293728362,-0.47675722895819916,0.9854810907365006,-1.4518909263499413
Coupled,4,99,LatticeMassTwoWing_kg,72.5489492567016,8.18478114546704,-64.36416811123456,0.11281736302626028,-88.71826369737397
Coupled,4,99,CDitrim,0.013097431856977027,0.006018267636853877,-0.00707916422012315,0.4594998242840969,-54.05001757159032
Coupled,4,99,Ctrim_Nm,9.3272810223876,57.59844160185831,48.27116057947071,6.175266024858576,517.5266024858577
Coupled,4,99,ScreenUtilization,0.3266712727272727,0.9564740909090909,0.6298028181818182,2.927940626440147,192.79406264401467
Coupled,4,99,HalfWingLLTLift_N,3458.545711974189,3140.606858951187,-317.93885302300214,0.9080715192162321,-9.192848078376791
Coupled,4,99,RootLLTAeroMoment_Nm,2624.5285384372023,3176.1244884400858,551.5959500028835,1.2101695378520578,21.016953785205782
Coupled,4,99,LiftCentroid_m,0.758853216642634,1.0113091612812564,0.2524559446386223,1.3326808651553903,33.26808651553903
Coupled,4,99,LiftCentroidOverSemispan,0.40657253767850277,0.40251595384554284,-0.004056583832959926,0.9900224844104751,-0.9977515589524866
