case_id,phase,box_restricted_hypervolume,normalized_hypervolume,feasible,final_pareto,phase_size,phase_feasible_count,phase_final_pareto_count,phase_feasible_share_percent,phase_final_pareto_share_percent,reference_cditrim,reference_ctrim,case30_hypervolume
53,adaptive_phase,0.21717337845211895,1.3538196518242231,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
54,adaptive_phase,0.2182717692290728,1.3606668217205575,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
55,adaptive_phase,0.21862308932161478,1.3628568877809284,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
56,adaptive_phase,0.2195630235171514,1.3687162679425702,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
57,adaptive_phase,0.2206156573337928,1.3752781972052677,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
58,adaptive_phase,0.2206156573337928,1.3752781972052677,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
59,adaptive_phase,0.2206156573337928,1.3752781972052677,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
60,adaptive_phase,0.2206156573337928,1.3752781972052677,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
61,adaptive_phase,0.22135735520028677,1.379901807863869,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
62,adaptive_phase,0.22151366871365072,1.3808762380990391,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
63,adaptive_phase,0.22151366871365072,1.3808762380990391,false,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
64,adaptive_phase,0.2222777537095185,1.3856394060823465,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
65,adaptive_phase,0.2222777537095185,1.3856394060823465,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
66,adaptive_phase,0.2222777537095185,1.3856394060823465,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
67,adaptive_phase,0.2222777537095185,1.3856394060823465,false,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
68,adaptive_phase,0.2222777537095185,1.3856394060823465,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
69,adaptive_phase,0.2222777537095185,1.3856394060823465,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
70,adaptive_phase,0.2222777537095185,1.3856394060823465,false,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
71,adaptive_phase,0.2222777537095185,1.3856394060823465,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
72,adaptive_phase,0.2226415323355028,1.387907136392025,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
73,adaptive_phase,0.2226415323355028,1.387907136392025,false,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
74,adaptive_phase,0.2227621497947241,1.388659043867107,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
75,adaptive_phase,0.2227621497947241,1.388659043867107,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
76,adaptive_phase,0.22280079391500288,1.3888999443395023,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
77,adaptive_phase,0.22280079391500288,1.3888999443395023,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
78,adaptive_phase,0.2230900157496011,1.3907029010656282,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
79,adaptive_phase,0.2230900157496011,1.3907029010656282,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
80,adaptive_phase,0.22331076527096763,1.3920790137470576,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
81,adaptive_phase,0.22331076527096763,1.3920790137470576,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
82,adaptive_phase,0.22342586936664022,1.392796551908676,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
83,adaptive_phase,0.22342586936664022,1.392796551908676,false,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
84,adaptive_phase,0.22342586936664022,1.392796551908676,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
85,adaptive_phase,0.2236940711578419,1.394468473477384,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
86,adaptive_phase,0.223901227717674,1.3957598500894897,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
87,adaptive_phase,0.223901227717674,1.3957598500894897,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
88,adaptive_phase,0.2240682182434424,1.396800838893297,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
89,adaptive_phase,0.22423513556448638,1.3978413713520625,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
90,adaptive_phase,0.22445561064171393,1.3992157731982535,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
91,adaptive_phase,0.22445561064171393,1.3992157731982535,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
92,adaptive_phase,0.22445561064171393,1.3992157731982535,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
93,adaptive_phase,0.2246114764295686,1.400187412393392,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
94,adaptive_phase,0.2246114764295686,1.400187412393392,false,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
95,adaptive_phase,0.2246114764295686,1.400187412393392,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
96,adaptive_phase,0.22474724644375096,1.401033778161787,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
97,adaptive_phase,0.2250032061927931,1.4026293850487777,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
98,adaptive_phase,0.2250032061927931,1.4026293850487777,true,false,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
99,adaptive_phase,0.2250032061927931,1.4026293850487777,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
100,adaptive_phase,0.22513254898250276,1.4034356846596174,true,true,70,60,35,85.71428571428571,50.0,0.013097431856977027,51.654576136822094,0.16041529472517677
