input_variable,input_physical,normalized_hvi_threshold,conditional_exceedance_probability,display_log10_exceedance_probability
secondary_member_ratio,0.15291666666666667,1.5058363542798414e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,1.6681005372000592e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,1.8478497974222906e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,2.04696827180752e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,2.2675431258707997e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,2.511886431509582e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,2.782559402207126e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,3.082399239745143e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,3.4145488738336004e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,3.7824899063893826e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,4.190079105786665e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,4.641588833612782e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,5.1417518276839275e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,5.6958108107376865e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,6.30957344480193e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,6.98947320727348e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,7.742636826811277e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,8.576958985908945e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,9.501185073181439e-08,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,1.0525002852777327e-07,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,1.1659144011798311e-07,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,1.2915496650148827e-07,0.0029296875,-2.5331787019201495
