case_id,normalized_semispan,lift_per_unit_span_N_per_m,outboard_bending_moment_Nm
4,0.83,1173.43653168612,34.913900816414
4,0.8325,1165.95010802093,33.6924510838014
4,0.835,1158.42255826157,32.4963876543548
4,0.8375,1150.85242452302,31.3255466302718
4,0.84,1143.23817921256,30.1797631865665
4,0.8425,1135.57822321038,29.0588715378092
4,0.845,1127.87088398865,27.9627049033082
4,0.8475,1120.11441364614,26.8910954706943
4,0.85,1112.30698683024,25.8438743578634
4,0.8525,1104.44669851339,24.8208715732328
4,0.855,1096.53156158461,23.8219159742633
4,0.8575,1088.55950421024,22.8468352241933
4,0.86,1080.52836690969,21.895455746929
4,0.8625,1072.43589928387,20.9676026800257
4,0.865,1064.27975632284,20.0630998256898
4,0.8675,1056.05749420861,19.1817695997207
4,0.87,1047.76656551507,18.3234329783013
4,0.8725,1039.40431369243,17.4879094425332
4,0.875,1030.96796670624,16.6750169205948
4,0.8775,1022.45462968114,15.8845717273861
4,0.88,1013.86127637735,15.1163885014982
4,0.8825,1005.18473930178,14.3702801393231
4,0.885,996.421698225819,13.6460577260869
4,0.8875,987.568666847779,12.9435304635595
4,0.89,978.621977298303,12.2625055941459
4,0.8925,969.577762141052,11.6027883210261
4,0.895,960.43193346788,10.9641817239494
4,0.8975,951.180158625545,10.3464866702273
4,0.9,941.817832038503,9.74950172039911
4,0.9025,932.340042507206,9.1730230279543
4,0.905,922.741535261108,8.61684423240047
4,0.9075,913.016667927055,8.080756344851
4,0.91,903.159359432964,7.56454762517337
4,0.9125,893.163030698646,7.06800344958562
4,0.915,883.020535764124,6.59090616740942
4,0.9175,872.724081762729,6.13303494548095
4,0.92,862.265135851492,5.69416559847616
4,0.9225,851.634316851633,5.27407040312463
4,0.925,840.82126891017,4.87251789395271
4,0.9275,829.814513947343,4.48927263780483
4,0.93,818.601278973897,4.12409498393051
4,0.9325,807.167293507809,3.77674078587742
4,0.935,795.496551238128,3.44696109077918
4,0.9375,783.571028701791,3.13450179084901
4,0.94,771.370351957257,2.83910323095378
4,0.9425,758.871399917382,2.56049976501094
4,0.945,746.047829946399,2.29841925257165
4,0.9475,732.869507250987,2.05258248526089
4,0.95,719.301814095169,1.82270253065092
4,0.9525,705.304807341008,1.60848397852707
4,0.955,690.832182358648,1.40962207120333
4,0.9575,675.829986577927,1.22580169532891
4,0.96,660.235004711123,1.05669620717558
4,0.9625,643.972706511979,0.901966056247265
4,0.965,626.954601191965,0.761257162528534
4,0.9675,609.074770744119,0.634198989769178
4,0.97,590.205240795022,0.520402239324947
4,0.9725,570.189662165835,0.419456063763697
4,0.975,548.834462477347,0.330924662665137
4,0.9775,525.896073046601,0.254343067957529
4,0.98,501.061808219244,0.18921184068185
4,0.9825,473.919949669203,0.134990262867862
4,0.985,443.910300487728,0.0910873731657585
4,0.9875,410.236526047449,0.0568497696445465
4,0.99,371.6956118777,0.0315442711493901
4,0.9925,326.299911518329,0.0143317239937978
4,0.995,270.254802110029,0.00422372481143168
4,0.9975,193.988560207044,0
4,1,0,0
37,0,2237.08065909325,2491.54340174005
37,0.0025,2237.05855044526,2476.21878111843
37,0.005,2236.9922307654,2460.94844326233
37,0.0075,2236.8817188403,2445.73238656251
37,0.01,2236.72704596175,2430.57060833737
37,0.0125,2236.52825589794,2415.46310483372
37,0.015,2236.28540485315,2400.40987122788
37,0.0175,2235.99856141604,2385.41090162701
37,0.02,2235.66780649659,2370.46618907078
37,0.0225,2235.29323325167,2355.57572553335
37,0.025,2234.87494699943,2340.73950192561
37,0.0275,2234.41306512263,2325.95750809773
37,0.03,2233.90771696082,2311.22973284205
37,0.0325,2233.35904369173,2296.55616389617
37,0.035,2232.7671982019,2281.9367879464
37,0.0375,2232.13234494664,2267.37159063147
37,0.04,2231.45465979961,2252.8605565465
37,0.0425,2230.734329892,2238.40366924732
37,0.045,2229.97155344176,2224.00091125492
37,0.0475,2229.16653957279,2209.65226406037
37,0.05,2228.31950812447,2195.3577081298
37,0.0525,2227.43068945174,2181.1172229098
37,0.055,2226.5003242158,2166.93078683296
37,0.0575,2225.5286631659,2152.79837732375
37,0.06,2224.51596691227,2138.71997080458
37,0.0625,2223.46250569055,2124.69554270212
37,0.065,2222.36855911792,2110.72506745389
37,0.0675,2221.23441594129,2096.80851851501
37,0.07,2220.06037377777,2082.94586836522
37,0.0725,2218.84673884767,2069.13708851611
37,0.075,2217.59382570051,2055.38214951853
37,0.0775,2216.30195693405,2041.68102097024
37,0.08,2214.97146290705,2028.03367152374
37,0.0825,2213.60268144565,2014.44006889425
37,0.085,2212.1959575441,2000.90017986799
37,0.0875,2210.75164305985,1987.41397031044
37,0.09,2209.27009640364,1973.98140517497
37,0.0925,2207.75168222462,1960.60244851149
37,0.095,2206.19677109115,1947.27706347531
37,0.0975,2204.60573916752,1934.00521233615
37,0.1,2202.97896788682,1920.78685648722
37,0.1025,2201.31684362059,1907.62195645453
37,0.105,2199.61975734545,1894.51047190624
37,0.1075,2197.8881043071,1881.45236166213
37,0.11,2196.12228368211,1868.44758370323
37,0.1125,2194.32269823787,1855.49609518147
37,0.115,2192.48975399108,1842.59785242948
37,0.1175,2190.62385986514,1829.75281097042
37,0.12,2188.72542734689,1816.96092552793
37,0.1225,2186.79487014299,1804.22215003607
37,0.125,2184.83260383643,1791.53643764942
37,0.1275,2182.83904554347,1778.90374075311
37,0.13,2180.81461357144,1766.32401097295
37,0.1325,2178.75972707779,1753.79719918564
37,0.135,2176.67480573076,1741.32325552884
37,0.1375,2174.560269372,1728.90212941144
37,0.14,2172.41653768162,1716.5337695237
37,0.1425,2170.24402984598,1704.21812384745
37,0.145,2168.04316422855,1691.95513966628
37,0.1475,2165.81435804435,1679.74476357564
37,0.15,2163.55802703813,1667.58694149302
37,0.1525,2161.27458516687,1655.48161866799
37,0.155,2158.96444428671,1643.42873969229
37,0.1575,2156.62801384494,1631.4282485098
37,0.16,2154.2657005771,1619.48008842646
37,0.1625,2151.87790820975,1607.58420212017
37,0.165,2149.46503716908,1595.74053165058
37,0.1675,2147.02748429581,1583.94901846879
37,0.17,2144.56564256657,1572.20960342699
37,0.1725,2142.07990082221,1560.52222678799
37,0.175,2139.57064350309,1548.88682823468
37,0.1775,2137.03825039198,1537.30334687931
37,0.18,2134.4830963645,1525.77172127277
37,0.1825,2131.90555114762,1514.29188941361
37,0.185,2129.30597908632,1502.86378875708
37,0.1875,2126.68473891877,1491.48735622394
37,0.19,2124.04218356018,1480.16252820917
37,0.1925,2121.37865989553,1468.88924059052
37,0.195,2118.69450858152,1457.66742873694
37,0.1975,2115.99006385783,1446.49702751686
37,0.2,2113.26565336783,1435.37797130627
37,0.2025,2110.52159798911,1424.3101939967
37,0.205,2107.75821167377,1413.29362900298
37,0.2075,2104.9758012988,1402.32820927087
37,0.21,2102.17466652655,1391.41386728451
37,0.2125,2099.35509967552,1380.5505350737
37,0.215,2096.51738560152,1369.73814422096
37,0.2175,2093.66180158929,1358.97662586848
37,0.22,2090.78861725475,1348.26591072481
37,0.2225,2087.89809445781,1337.60592907146
37,0.225,2084.99048722593,1326.99661076919
37,0.2275,2082.06604168836,1316.4378852642
37,0.23,2079.1249960212,1305.92968159411
37,0.2325,2076.16758040316,1295.47192839376
37,0.235,2073.19401698215,1285.06455390073
37,0.2375,2070.20451985256,1274.70748596078
37,0.24,2067.19929504334,1264.40065203306
37,0.2425,2064.17854051665,1254.14397919505
37,0.245,2061.14244617719,1243.93739414742
37,0.2475,2058.09119389208,1233.7808232186
37,0.25,2055.02495752109,1223.67419236922
37,0.2525,2051.94390295733,1213.61742719632
37,0.255,2048.8481881781,1203.61045293737
37,0.2575,2045.73796330578,1193.65319447409
37,0.26,2042.61337067879,1183.74557633614
37,0.2625,2039.4745449322,1173.88752270451
37,0.265,2036.32161308804,1164.07895741484
37,0.2675,2033.15469465493,1154.31980396048
37,0.27,2029.97390173704,1144.6099854954
37,0.2725,2026.77933915194,1134.94942483688
37,0.275,2023.57110455725,1125.33804446809
37,0.2775,2020.34928858589,1115.77576654044
37,0.28,2017.11397498947,1106.2625128758
37,0.2825,2013.8652407898,1096.79820496849
37,0.285,2010.60315643803,1087.3827639872
37,0.2875,2007.32778598136,1078.01611077667
37,0.29,2004.03918723674,1068.69816585924
37,0.2925,2000.73741197147,1059.42884943626
37,0.295,1997.42250609034,1050.20808138937
37,0.2975,1994.09450982883,1041.03578128157
37,0.3,1990.75345795225,1031.91186835823
37,0.3025,1987.3993799603,1022.83626154793
37,0.305,1984.03230029674,1013.80887946314
37,0.3075,1980.65223856386,1004.82964040087
37,0.31,1977.25920974127,995.898462343102
37,0.3125,1973.85322440872,987.015262957179
37,0.315,1970.43428897249,978.179959596041
37,0.3175,1967.00240589504,969.392469298396
37,0.32,1963.55757392739,960.652708788772
37,0.3225,1960.09978834396,951.96059447749
37,0.325,1956.62904117939,943.316042460549
37,0.3275,1953.14532146691,934.718968519432
37,0.33,1949.64861547788,926.169288120838
37,0.3325,1946.13890696209,917.666916416354
37,0.335,1942.61617738834,909.211768242055
37,0.3375,1939.08040618492,900.803758118059
37,0.34,1935.53157097957,892.442800248023
37,0.3425,1931.96964783851,884.128808518606
37,0.345,1928.39461150401,875.861696498882
37,0.3475,1924.80643563024,867.641377439732
37,0.35,1921.20509301686,859.467764273204
37,0.3525,1917.59055583998,851.340769611848
37,0.355,1913.96279588008,843.260305748049
37,0.3575,1910.32178474643,835.226284653336
37,0.36,1906.66749409769,827.238617977695
37,0.3625,1902.9998958582,819.297217048882
37,0.365,1899.3189624297,811.40199287174
37,0.3675,1895.62466689785,803.552856127531
37,0.37,1891.91698323349,795.749717173284
37,0.3725,1888.19588648798,787.992486041159
37,0.375,1884.46135298251,780.281072437845
37,0.3775,1880.71336049073,772.615385743987
37,0.38,1876.95188841475,764.995335013641
