record_type,Case,AR,TaperRatio,CDitrim,Feasible,Pareto,LLTTrimRequiredCL,TorsionCorrectedE,InterpolatedRigidE,LLTTrimCDiRigid,CDiTorsionDeltaPct,DirectRigidE,OptimumTaperAtSameAR,MaximumEAtSameAR,EfficiencyGap,AbsoluteTaperDistance,TaperOnlyCDiPenaltyPct,RigidSpanEfficiency
reference,,6,0.204,,,,,,,,,,0.366,,,,0.987833216399814,0.980724033735397
reference,,6,0.205,,,,,,,,,,0.366,,,,0.972915725574608,0.980868923497867
reference,,6,0.206,,,,,,,,,,0.366,,,,0.958157125456971,0.981012312131553
reference,,6,0.207,,,,,,,,,,0.366,,,,0.943556077504804,0.981154211311329
reference,,6,0.208,,,,,,,,,,0.366,,,,0.929111258334436,0.981294632592999
reference,,6,0.209,,,,,,,,,,0.366,,,,0.914821359499385,0.981433587414879
reference,,6,0.21,,,,,,,,,,0.366,,,,0.900685087273856,0.981571087099356
reference,,6,0.211,,,,,,,,,,0.366,,,,0.88670116243954,0.98170714285441
reference,,6,0.212,,,,,,,,,,0.366,,,,0.872868320076314,0.981841765775123
reference,,6,0.213,,,,,,,,,,0.366,,,,0.859185309357158,0.981974966845153
reference,,6,0.214,,,,,,,,,,0.366,,,,0.845650893346273,0.98210675693819
reference,,6,0.215,,,,,,,,,,0.366,,,,0.832263848800685,0.982237146819383
reference,,6,0.216,,,,,,,,,,0.366,,,,0.819022965975802,0.982366147146748
reference,,6,0.217,,,,,,,,,,0.366,,,,0.805927048434252,0.98249376847255
reference,,6,0.218,,,,,,,,,,0.366,,,,0.792974912857614,0.982620021244665
reference,,6,0.219,,,,,,,,,,0.366,,,,0.78016538886212,0.982744915807916
reference,,6,0.22,,,,,,,,,,0.366,,,,0.767497318817068,0.982868462405392
reference,,6,0.221,,,,,,,,,,0.366,,,,0.754969557666718,0.982990671179741
reference,,6,0.222,,,,,,,,,,0.366,,,,0.742580972755058,0.983111552174447
reference,,6,0.223,,,,,,,,,,0.366,,,,0.730330443653604,0.983231115335085
reference,,6,0.224,,,,,,,,,,0.366,,,,0.718216861992249,0.98334937051055
reference,,6,0.225,,,,,,,,,,0.366,,,,0.706239131292929,0.98346632745428
reference,,6,0.226,,,,,,,,,,0.366,,,,0.694396166806177,0.983581995825444
reference,,6,0.227,,,,,,,,,,0.366,,,,0.682686895350426,0.983696385190123
reference,,6,0.228,,,,,,,,,,0.366,,,,0.671110255153984,0.983809505022466
reference,,6,0.229,,,,,,,,,,0.366,,,,0.65966519569971,0.983921364705834
reference,,6,0.23,,,,,,,,,,0.366,,,,0.648350677572385,0.984031973533916
reference,,6,0.231,,,,,,,,,,0.366,,,,0.637165672308448,0.98414134071184
reference,,6,0.232,,,,,,,,,,0.366,,,,0.6261091622485,0.984249475357257
reference,,6,0.233,,,,,,,,,,0.366,,,,0.615180140391991,0.984356386501415
reference,,6,0.234,,,,,,,,,,0.366,,,,0.60437761025447,0.98446208309021
reference,,6,0.235,,,,,,,,,,0.366,,,,0.593700585727142,0.984566573985228
reference,,6,0.236,,,,,,,,,,0.366,,,,0.583148090938734,0.984669867964766
reference,,6,0.237,,,,,,,,,,0.366,,,,0.572719160119739,0.98477197372484
reference,,6,0.238,,,,,,,,,,0.366,,,,0.562412837468718,0.984872899880175
reference,,6,0.239,,,,,,,,,,0.366,,,,0.552228177020786,0.984972654965184
reference,,6,0.24,,,,,,,,,,0.366,,,,0.542164242518339,0.98507124743493
reference,,6,0.241,,,,,,,,,,0.366,,,,0.532220107283998,0.985168685666071
reference,,6,0.242,,,,,,,,,,0.366,,,,0.522394854095043,0.9852649779578
reference,,6,0.243,,,,,,,,,,0.366,,,,0.512687575060733,0.985360132532754
reference,,6,0.244,,,,,,,,,,0.366,,,,0.503097371500649,0.985454157537935
reference,,6,0.245,,,,,,,,,,0.366,,,,0.493623353825812,0.985547061045587
reference,,6,0.246,,,,,,,,,,0.366,,,,0.484264641421039,0.985638851054088
reference,,6,0.247,,,,,,,,,,0.366,,,,0.47502036252971,0.98572953548881
reference,,6,0.248,,,,,,,,,,0.366,,,,0.465889654139962,0.985819122202975
reference,,6,0.249,,,,,,,,,,0.366,,,,0.456871661872782,0.985907618978494
reference,,6,0.25,,,,,,,,,,0.366,,,,0.447965539872008,0.985995033526802
reference,,6,0.251,,,,,,,,,,0.366,,,,0.439170450695836,0.98608137348967
reference,,6,0.252,,,,,,,,,,0.366,,,,0.430485565210148,0.986166646440011
reference,,6,0.253,,,,,,,,,,0.366,,,,0.421910062483599,0.986250859882676
reference,,6,0.254,,,,,,,,,,0.366,,,,0.413443129684055,0.986334021255236
reference,,6,0.255,,,,,,,,,,0.366,,,,0.405083961976693,0.986416137928752
reference,,6,0.256,,,,,,,,,,0.366,,,,0.396831762424177,0.986497217208538
reference,,6,0.257,,,,,,,,,,0.366,,,,0.388685741887596,0.986577266334904
reference,,6,0.258,,,,,,,,,,0.366,,,,0.380645118929257,0.986656292483903
reference,,6,0.259,,,,,,,,,,0.366,,,,0.372709119717429,0.986734302768055
reference,,6,0.26,,,,,,,,,,0.366,,,,0.364876977931483,0.986811304237065
reference,,6,0.261,,,,,,,,,,0.366,,,,0.357147934669588,0.986887303878533
reference,,6,0.262,,,,,,,,,,0.366,,,,0.349521238357187,0.986962308618649
reference,,6,0.263,,,,,,,,,,0.366,,,,0.341996144656775,0.987036325322886
reference,,6,0.264,,,,,,,,,,0.366,,,,0.334571916379423,0.987109360796674
reference,,6,0.265,,,,,,,,,,0.366,,,,0.327247823397481,0.987181421786072
reference,,6,0.266,,,,,,,,,,0.366,,,,0.32002314255839,0.987252514978431
reference,,6,0.267,,,,,,,,,,0.366,,,,0.312897157600123,0.987322647003037
reference,,6,0.268,,,,,,,,,,0.366,,,,0.305869159067451,0.987391824431761
reference,,6,0.269,,,,,,,,,,0.366,,,,0.298938444230101,0.987460053779689
reference,,6,0.27,,,,,,,,,,0.366,,,,0.292104317001307,0.987527341505745
reference,,6,0.271,,,,,,,,,,0.366,,,,0.285366087858097,0.987593694013313
reference,,6,0.272,,,,,,,,,,0.366,,,,0.278723073762888,0.987659117650836
reference,,6,0.273,,,,,,,,,,0.366,,,,0.272174598085662,0.987723618712424
reference,,6,0.274,,,,,,,,,,0.366,,,,0.265719990527713,0.987787203438441
reference,,6,0.275,,,,,,,,,,0.366,,,,0.259358587046421,0.987849878016089
reference,,6,0.276,,,,,,,,,,0.366,,,,0.253089729781086,0.987911648579985
reference,,6,0.277,,,,,,,,,,0.366,,,,0.246912766979768,0.987972521212725
reference,,6,0.278,,,,,,,,,,0.366,,,,0.240827052927339,0.988032501945452
reference,,6,0.279,,,,,,,,,,0.366,,,,0.234831947874437,0.9880915967584
reference,,6,0.28,,,,,,,,,,0.366,,,,0.22892681796749,0.988149811581447
reference,,6,0.281,,,,,,,,,,0.366,,,,0.223111035179691,0.988207152294647
reference,,6,0.282,,,,,,,,,,0.366,,,,0.217383977243224,0.988263624728768
reference,,6,0.283,,,,,,,,,,0.366,,,,0.211745027582011,0.98831923466581
reference,,6,0.284,,,,,,,,,,0.366,,,,0.206193575245761,0.988373987839526
reference,,6,0.285,,,,,,,,,,0.366,,,,0.200729014844758,0.988427889935933
reference,,6,0.286,,,,,,,,,,0.366,,,,0.195350746485801,0.988480946593811
reference,,6,0.287,,,,,,,,,,0.366,,,,0.190058175708785,0.988533163405207
reference,,6,0.288,,,,,,,,,,0.366,,,,0.184850713424334,0.988584545915923
reference,,6,0.289,,,,,,,,,,0.366,,,,0.179727775852201,0.988635099626
reference,,6,0.29,,,,,,,,,,0.366,,,,0.174688784460675,0.988684829990195
reference,,6,0.291,,,,,,,,,,0.366,,,,0.169733165906805,0.988733742418456
reference,,6,0.292,,,,,,,,,,0.366,,,,0.164860351977114,0.988781842276389
reference,,6,0.293,,,,,,,,,,0.366,,,,0.160069779529803,0.988829134885714
reference,,6,0.294,,,,,,,,,,0.366,,,,0.155360890437106,0.988875625524721
reference,,6,0.295,,,,,,,,,,0.366,,,,0.15073313152878,0.988921319428721
reference,,6,0.296,,,,,,,,,,0.366,,,,0.146185954536371,0.988966221790485
reference,,6,0.297,,,,,,,,,,0.366,,,,0.141718816038039,0.989010337760683
reference,,6,0.298,,,,,,,,,,0.366,,,,0.137331177404465,0.989053672448316
reference,,6,0.299,,,,,,,,,,0.366,,,,0.133022504745051,0.989096230921141
reference,,6,0.3,,,,,,,,,,0.366,,,,0.128792268855338,0.989138018206093
reference,,6,0.301,,,,,,,,,,0.366,,,,0.124639945164828,0.989179039289699
reference,,6,0.302,,,,,,,,,,0.366,,,,0.120565013685447,0.98921929911849
reference,,6,0.303,,,,,,,,,,0.366,,,,0.116566958961184,0.989258802599406
reference,,6,0.304,,,,,,,,,,0.366,,,,0.112645270017642,0.989297554600194
reference,,6,0.305,,,,,,,,,,0.366,,,,0.108799440313101,0.989335559949808
